transform,self_consistency_dice,transformed_vs_expert_dice,baseline_vs_expert_dice,accuracy_delta,subject
axis1_+4mm,0.9989390799834231,0.9924343348255042,0.992577197968032,-0.00014286314252776044,007
axis1_+6mm,0.9985577720064099,0.9924010271714996,0.992577197968032,-0.00017617079653242662,007
axis2_+1mm,0.9975800821723523,0.9920003966745451,0.992577197968032,-0.0005768012934869171,007
axis2_+2mm,0.9965294227824113,0.9923967651191632,0.992577197968032,-0.00018043284886881672,007
axis2_+4mm,0.9974681589268083,0.9921170954126066,0.992577197968032,-0.00046010255542539014,007
axis2_+6mm,0.9970369223795282,0.991934215427917,0.992577197968032,-0.0006429825401149669,007
resampling_floor,0.9999969839637352,0.9930148776774543,0.9930179134534799,-3.0357760255617094e-06,043
axis0_+1mm,0.9978676366356313,0.9928278781191495,0.9930179134534799,-0.000190035334330374,043
axis0_+2mm,0.9981822621340786,0.9925303201506591,0.9930179134534799,-0.00048759330282077684,043
axis0_+4mm,0.9987572318848449,0.9928843219904602,0.9930179134534799,-0.00013359146301972213,043
axis0_+6mm,0.9931751371336788,0.9881313727984878,0.9930179134534799,-0.004886540654992055,043
axis1_+1mm,0.9978821409957853,0.9923784114212411,0.9930179134534799,-0.0006395020322388367,043
axis1_+2mm,0.9982887855197513,0.9927304921824183,0.9930179134534799,-0.0002874212710616275,043
axis1_+4mm,0.999056208369894,0.9928477779284778,0.9930179134534799,-0.00017013552500211304,043
axis1_+6mm,0.9985102263611525,0.992898009875263,0.9930179134534799,-0.00011990357821689557,043
axis2_+1mm,0.9976278286483452,0.9932063495894246,0.9930179134534799,0.00018843613594465847,043
axis2_+2mm,0.9971578394752563,0.9932927601618906,0.9930179134534799,0.00027484670841071424,043
axis2_+4mm,0.9970033949453037,0.992829973546011,0.9930179134534799,-0.00018793990746890366,043
axis2_+6mm,0.9965974379643803,0.9923920752040801,0.9930179134534799,-0.0006258382493997683,043
resampling_floor,1.0,0.992422193260711,0.992422193260711,0.0,078
axis0_+1mm,0.998913668343559,0.9923830562448898,0.992422193260711,-3.9137015821255616e-05,078
axis0_+2mm,0.9990409605935002,0.9923702585509431,0.992422193260711,-5.1934709767942344e-05,078
axis0_+4mm,0.9986758918318056,0.9923410073356039,0.992422193260711,-8.118592510708567e-05,078
axis0_+6mm,0.9972507874603204,0.99170592583038,0.992422193260711,-0.0007162674303310412,078
axis1_+1mm,0.9986623086017239,0.9923498029060095,0.992422193260711,-7.239035470152366e-05,078
axis1_+2mm,0.9987627786559891,0.9924066293996793,0.992422193260711,-1.556386103174212e-05,078
axis1_+4mm,0.998993099044672,0.9923455059058911,0.992422193260711,-7.66873548199154e-05,078
axis1_+6mm,0.9985648391739533,0.992443149309835,0.992422193260711,2.0956049123999065e-05,078
axis2_+1mm,0.9987201661739511,0.9923942692846436,0.992422193260711,-2.7923976067434353e-05,078
axis2_+2mm,0.9931427960280047,0.9871403437207712,0.992422193260711,-0.00528184953993982,078
axis2_+4mm,0.9463834179065967,0.9413660154651389,0.992422193260711,-0.051056177795572144,078
axis2_+6mm,0.8751768488745981,0.8708759980671438,0.992422193260711,-0.12154619519356724,078
resampling_floor,0.9999969232757268,0.9924171345074214,0.9924140816301419,3.052877279530186e-06,009
axis0_+1mm,0.9982278122711693,0.9926663303350601,0.9924140816301419,0.00025224870491824536,009
axis0_+2mm,0.9987971636441942,0.9924673734847855,0.9924140816301419,5.32918546436445e-05,009
axis0_+4mm,0.9990434565972276,0.9924627056149922,0.9924140816301419,4.86239848502823e-05,009
axis0_+6mm,0.9987578098096128,0.9923021587157148,0.9924140816301419,-0.00011192291442707614,009
axis1_+1mm,0.998520532608261,0.9927761085705675,0.9924140816301419,0.00036202694042564154,009
axis1_+2mm,0.9988619236566085,0.9924776420513957,0.9924140816301419,6.356042125377215e-05,009
axis1_+4mm,0.999239964921458,0.9923116918277499,0.9924140816301419,-0.00010238980239196671,009
axis1_+6mm,0.9987445149458111,0.9923821947647588,0.9924140816301419,-3.188686538313501e-05,009
axis2_+1mm,0.9978355111452729,0.9924501389469542,0.9924140816301419,3.6057316812332374e-05,009
axis2_+2mm,0.9971057107617732,0.9931821746310471,0.9924140816301419,0.0007680930009051901,009
axis2_+4mm,0.9979307015628891,0.9924835144565535,0.9924140816301419,6.943282641158621e-05,009
axis2_+6mm,0.9977716631887377,0.9927067946824224,0.9924140816301419,0.00029271305228051325,009
resampling_floor,1.0,0.9935452247046076,0.9935452247046076,0.0,099
axis0_+1mm,0.9986514258013445,0.9936209782886268,0.9935452247046076,7.57535840192336e-05,099
axis0_+2mm,0.999030303030303,0.9935140992234462,0.9935452247046076,-3.112548116135372e-05,099
axis0_+4mm,0.9992213163363707,0.9932988387749101,0.9935452247046076,-0.0002463859296975013,099
axis0_+6mm,0.9966635395426129,0.9914709783167915,0.9935452247046076,-0.002074246387816059,099
axis1_+1mm,0.9988676373860221,0.9937529835244939,0.9935452247046076,0.00020775881988632783,099
axis1_+2mm,0.9989868131018215,0.9934106178029375,0.9935452247046076,-0.00013460690167010902,099
axis1_+4mm,0.9991950962788682,0.9935894127241383,0.9935452247046076,4.418801953065543e-05,099
axis1_+6mm,0.998882906404068,0.993282112560101,0.9935452247046076,-0.00026311214450658316,099
axis2_+1mm,0.9965810954386308,0.9933939127234733,0.9935452247046076,-0.00015131198113427224,099
axis2_+2mm,0.9975588401915847,0.9937609479649665,0.9935452247046076,0.0002157232603589021,099
