transform,stage,relative_l2,cosine,subject
axis1_+1mm,encoder_level1,0.2182980477809906,0.9759339094161987,007
axis1_+1mm,encoder_level2,0.217123880982399,0.9761441349983215,007
axis1_+1mm,encoder_level3,0.2689892649650574,0.9631569385528564,007
axis1_+1mm,encoder_level4,0.17632168531417847,0.9850265979766846,007
axis1_+1mm,output_logits,0.08964032679796219,0.9959852695465088,007
axis1_+2mm,input,1.5314512893382926e-06,0.9999999403953552,007
axis1_+2mm,encoder_level0,0.05365718528628349,0.9985593557357788,007
axis1_+2mm,encoder_level1,0.1278170496225357,0.9918127059936523,007
axis1_+2mm,encoder_level2,0.2510281503200531,0.9679803252220154,007
axis1_+2mm,encoder_level3,0.2639973759651184,0.9646387696266174,007
axis1_+2mm,encoder_level4,0.19793646037578583,0.9809070825576782,007
axis1_+2mm,output_logits,0.10761312395334244,0.9941986799240112,007
axis1_+4mm,input,1.5314512893382926e-06,0.9999999403953552,007
axis1_+4mm,encoder_level0,0.13142992556095123,0.9913254976272583,007
axis1_+4mm,encoder_level1,0.2641845643520355,0.9644883871078491,007
axis1_+4mm,encoder_level2,0.2979086637496948,0.9548014998435974,007
axis1_+4mm,encoder_level3,0.30221837759017944,0.9534245729446411,007
axis1_+4mm,encoder_level4,0.17371825873851776,0.9852248430252075,007
axis1_+4mm,output_logits,0.20817963778972626,0.9780913591384888,007
axis1_+6mm,input,1.5314512893382926e-06,0.9999999403953552,007
axis1_+6mm,encoder_level0,0.17795661091804504,0.984038233757019,007
axis1_+6mm,encoder_level1,0.3510025441646576,0.9363840818405151,007
axis1_+6mm,encoder_level2,0.42070895433425903,0.9071969985961914,007
axis1_+6mm,encoder_level3,0.4339861273765564,0.9009315371513367,007
axis1_+6mm,encoder_level4,0.19834399223327637,0.9801325798034668,007
axis1_+6mm,output_logits,0.2966875731945038,0.9550542235374451,007
axis2_+1mm,input,1.5310745311580831e-06,0.9999999403953552,007
axis2_+1mm,encoder_level0,1.928425808728207e-05,1.0,007
axis2_+1mm,encoder_level1,0.2902776300907135,0.9569424986839294,007
axis2_+1mm,encoder_level2,0.26938295364379883,0.9630581140518188,007
axis2_+1mm,encoder_level3,0.27143537998199463,0.9624589681625366,007
axis2_+1mm,encoder_level4,0.27162209153175354,0.9635512828826904,007
axis2_+1mm,output_logits,0.0938771590590477,0.9955846667289734,007
axis2_+2mm,input,1.5306591194530483e-06,0.9999999403953552,007
axis2_+2mm,encoder_level0,0.053657129406929016,0.9985594153404236,007
axis2_+2mm,encoder_level1,0.12403670698404312,0.9922818541526794,007
axis2_+2mm,encoder_level2,0.30630919337272644,0.9519335031509399,007
axis2_+2mm,encoder_level3,0.26520463824272156,0.9642227292060852,007
axis2_+2mm,encoder_level4,0.29797086119651794,0.9557141065597534,007
axis2_+2mm,output_logits,0.13509239256381989,0.9908661842346191,007
axis2_+4mm,input,0.1261502355337143,0.9920111894607544,007
axis2_+4mm,encoder_level0,0.23019084334373474,0.973228931427002,007
axis2_+4mm,encoder_level1,0.3208090364933014,0.9474114775657654,007
axis2_+4mm,encoder_level2,0.3492724597454071,0.9377008080482483,007
axis2_+4mm,encoder_level3,0.32359305024147034,0.9463405013084412,007
axis2_+4mm,encoder_level4,0.2533673644065857,0.9678325653076172,007
axis2_+4mm,output_logits,0.2762056291103363,0.961257815361023,007
axis2_+6mm,input,0.1897982507944107,0.9818231463432312,007
axis2_+6mm,encoder_level0,0.3192874491214752,0.9480527639389038,007
axis2_+6mm,encoder_level1,0.425777405500412,0.9058123230934143,007
axis2_+6mm,encoder_level2,0.4633827805519104,0.8861867189407349,007
axis2_+6mm,encoder_level3,0.4331633448600769,0.9014256000518799,007
axis2_+6mm,encoder_level4,0.1985338181257248,0.9801331758499146,007
axis2_+6mm,output_logits,0.36591464281082153,0.9308882355690002,007
resampling_floor,input,1.8846396869776072e-06,1.0,043
resampling_floor,encoder_level0,1.9556744518922642e-05,1.0000001192092896,043
resampling_floor,encoder_level1,1.7471389583079144e-05,1.0,043
resampling_floor,encoder_level2,2.1764726625406183e-05,1.0,043
resampling_floor,encoder_level3,9.169086752081057e-07,1.0,043
resampling_floor,encoder_level4,3.832259608316235e-06,1.0,043
resampling_floor,output_logits,0.00011373718734830618,0.9999999403953552,043
axis0_+1mm,input,1.628710037948622e-06,1.0,043
axis0_+1mm,encoder_level0,0.011096891015768051,0.9999474287033081,043
axis0_+1mm,encoder_level1,0.19721625745296478,0.9803601503372192,043
axis0_+1mm,encoder_level2,0.18746183812618256,0.9822752475738525,043
axis0_+1mm,encoder_level3,0.21620069444179535,0.9763501882553101,043
axis0_+1mm,encoder_level4,0.19639188051223755,0.9808098077774048,043
axis0_+1mm,output_logits,0.06484388560056686,0.9978956580162048,043
axis0_+2mm,input,1.4697353662995738e-06,0.9999999403953552,043
axis0_+2mm,encoder_level0,0.049490854144096375,0.9988261461257935,043
axis0_+2mm,encoder_level1,0.09193967282772064,0.9958803653717041,043
axis0_+2mm,encoder_level2,0.22579549252986908,0.974215030670166,043
axis0_+2mm,encoder_level3,0.20321674644947052,0.9791392087936401,043
axis0_+2mm,encoder_level4,0.20719873905181885,0.9785424470901489,043
axis0_+2mm,output_logits,0.07518666982650757,0.9971762895584106,043
axis0_+4mm,input,0.15740236639976501,0.9875344634056091,043
axis0_+4mm,encoder_level0,0.22011739015579224,0.9757764339447021,043
axis0_+4mm,encoder_level1,0.2714565396308899,0.9628839492797852,043
axis0_+4mm,encoder_level2,0.29422101378440857,0.9559406638145447,043
axis0_+4mm,encoder_level3,0.2604978382587433,0.9655582904815674,043
axis0_+4mm,encoder_level4,0.1976146101951599,0.9803862571716309,043
axis0_+4mm,output_logits,0.22299236059188843,0.9748334884643555,043
axis0_+6mm,input,0.24972303211688995,0.9683172106742859,043
axis0_+6mm,encoder_level0,0.34022578597068787,0.9415619373321533,043
axis0_+6mm,encoder_level1,0.389887273311615,0.9221707582473755,043
axis0_+6mm,encoder_level2,0.41306474804878235,0.9107305407524109,043
axis0_+6mm,encoder_level3,0.3643084764480591,0.931321382522583,043
axis0_+6mm,encoder_level4,0.18299762904644012,0.9831137657165527,043
axis0_+6mm,output_logits,0.3348691761493683,0.9424209594726562,043
axis1_+1mm,input,1.8846396869776072e-06,1.0,043
axis1_+1mm,encoder_level0,1.9543840608093888e-05,1.0000001192092896,043
axis1_+1mm,encoder_level1,0.21266163885593414,0.9771738648414612,043
axis1_+1mm,encoder_level2,0.20612189173698425,0.97852623462677,043
