domain,subject,level,pca1,pca2,tsne1,tsne2
Mouse,POLYIC_20190524_polyic___E3_P1_3,level2,3.938860503363217,-1.7448034941869532,-7.7205834,-80.331024
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,level2,3.508776218849253,-1.3169597677626617,-26.039062,-68.48028
Mouse,POLYIC_20190531_polyic_m__E3_P1_6,level2,3.55482337690667,-2.1753971016366203,-20.014044,-58.239178
Mouse,POLYIC_20190524_polyic___E3_P1_13,level2,1.8791406736791543,-2.540919709413647,-15.036523,-20.726799
Mouse,POLYIC_20190531_polyic_m__E3_P1_2,level2,3.9040840017255367,-1.2907790845046323,-9.932797,-65.92251
Mouse,POLYIC_20190510_mouse39__E4_P1,level2,1.5176558917087999,-2.7370921416191405,-20.485477,-7.954859
Mouse,POLYIC_20190628_mouse32__E3_P1,level2,4.806663826363178,-0.44544894557759146,6.0922875,-71.355675
Mouse,POLYIC_20190510_mouse43__E2_P1_1,level2,2.9007239524328945,-1.3359255880076182,-32.5435,-107.3045
Mouse,POLYIC_20190629_polyic_mo__E3_P1_5,level2,2.971892180868846,-1.81184922177994,-35.915165,-45.05441
Mouse,POLYIC_20190628_mouse33__E3_P1,level2,3.052862417214652,-1.6562550889691625,-49.8886,-38.728004
Mouse,POLYIC_20190517_mouse37__E3_P1,level2,1.2012706025241349,-2.399298967144292,195.95857,299.37955
Mouse,POLYIC_20190619_mouse43__E3_P1,level2,-0.322837137028109,-3.5568732734877555,2.1302173,-12.966647
Mouse,POLYIC_20190517_mouse39__E12_P1,level2,1.8579624695362809,-2.086521303905974,-127.61068,-398.8358
Mouse,POLYIC_20190612_polyic___E10_P1_1,level2,1.7287769397401056,-2.082028458163182,-31.203856,-29.871437
Mouse,POLYIC_20190524_polyic___E3_P1_10,level2,2.9522716491263052,-1.7660483072583846,-48.97095,-67.05793
Mouse,POLYIC_20190517_mouse40__E3_P1,level2,3.734863186999097,-1.1305047757113882,-18.746943,-103.19318
CAMRI,108,level1,8.823555376069274,2.3320357447276354,-7.444695,-73.93427
CAMRI,075,level1,6.200063392096703,2.4061098499039173,-10.235608,-78.97118
CAMRI,111,level1,8.21883735365257,2.566368728625697,-8.728902,-72.68045
CAMRI,051,level1,7.011016592583064,0.9178292519889856,-12.387393,-76.1768
CAMRI,110,level1,8.510055484243226,1.8602810416544846,-8.925771,-74.683014
CAMRI,074,level1,6.556509363977426,0.817840341881263,-11.684667,-80.65416
