domain,subject,level,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31
CAMRI,074,level4,0.36474379897117615,0.26786890625953674,-0.16150030493736267,-1.2254440784454346,-0.30291348695755005,1.7695131301879883,-0.32648518681526184,0.3640527129173279,-1.0248574018478394,1.2923873662948608,-0.6113389730453491,0.4975520968437195,0.6143174171447754,0.9724000096321106,1.056870460510254,-1.1188453435897827,0.6455838084220886,1.4063736200332642,-0.25481364130973816,1.922684907913208,-1.5666396617889404,1.1316699981689453,0.07875527441501617,2.5443222522735596,0.6771165132522583,-0.15253846347332,-0.8484758138656616,0.7468414306640625,-0.4636913239955902,0.5202981233596802,1.1817419528961182,0.9551789164543152
CAMRI,074,level3,0.2090156078338623,0.2608296275138855,0.26078861951828003,0.2894055247306824,0.27520495653152466,0.26347067952156067,0.23684115707874298,0.2761898636817932,0.22923675179481506,0.24858184158802032,0.26747581362724304,0.26773199439048767,0.2547336220741272,0.26337990164756775,0.2813991904258728,0.26599663496017456,0.24152250587940216,0.2815990447998047,0.22179946303367615,0.2524625062942505,0.27692538499832153,0.2392902821302414,0.22624966502189636,0.23198547959327698,0.24578765034675598,0.2749682366847992,0.22977948188781738,0.24293899536132812,0.24517640471458435,0.25602707266807556,0.2863267660140991,0.2615707814693451
CAMRI,074,level2,0.22337503731250763,0.20621660351753235,0.26459822058677673,0.2754388451576233,0.24075989425182343,0.1861647516489029,0.1810797154903412,0.30671459436416626,0.2627190053462982,0.2548009157180786,0.2716963589191437,0.2561100423336029,0.2571466863155365,0.2666221559047699,0.25345557928085327,0.2645454406738281,0.2510375380516052,0.24911651015281677,0.19588837027549744,0.3007470667362213,0.23837926983833313,0.24746474623680115,0.22225923836231232,0.2589077353477478,0.24541711807250977,0.22520402073860168,0.22215457260608673,0.19848017394542694,0.2520223557949066,0.2233385294675827,0.21415872871875763,0.26617687940597534
CAMRI,074,level1,0.2570463716983795,0.2677765488624573,0.27875182032585144,0.27837616205215454,0.2451833188533783,0.1868383288383484,0.27667123079299927,0.28683537244796753,0.22526411712169647,0.23673705756664276,0.2558329999446869,0.2892024517059326,0.2902902662754059,0.19129449129104614,0.24710598587989807,0.30648311972618103,0.28454211354255676,0.25390130281448364,0.2568034529685974,0.2937602400779724,0.25059089064598083,0.1866273730993271,0.24072065949440002,0.31153541803359985,0.28244492411613464,0.2997340261936188,0.28467148542404175,0.2870487570762634,0.2869911789894104,0.2792166471481323,0.17688769102096558,0.2994975745677948
CAMRI,015,level4,0.41211166977882385,0.30025094747543335,-0.23313160240650177,-1.1941940784454346,-0.33643755316734314,1.738176703453064,-0.2421407699584961,0.3099924921989441,-1.0121606588363647,1.3525537252426147,-0.5500744581222534,0.4165194034576416,0.5497351288795471,0.7923823595046997,1.0864909887313843,-1.1060881614685059,0.6431095004081726,1.4475001096725464,-0.26375848054885864,1.8856767416000366,-1.5032466650009155,1.1727906465530396,0.025952965021133423,2.5872373580932617,0.5370381474494934,-0.16891047358512878,-0.8204097747802734,0.7314847707748413,-0.5222330093383789,0.48070183396339417,1.1222398281097412,1.0130935907363892
CAMRI,015,level3,0.20797030627727509,0.2450879067182541,0.2791493833065033,0.2921305298805237,0.2683835029602051,0.24943765997886658,0.22551307082176208,0.2700995206832886,0.252939373254776,0.2584907114505768,0.2497214823961258,0.2765476107597351,0.220998615026474,0.2578088641166687,0.27080202102661133,0.2680456042289734,0.22890059649944305,0.25744977593421936,0.2044653445482254,0.23298566043376923,0.24989402294158936,0.2628188133239746,0.21901528537273407,0.24833813309669495,0.23332324624061584,0.24594178795814514,0.1875339299440384,0.22420749068260193,0.22046275436878204,0.2534500062465668,0.2515825033187866,0.2552877962589264
CAMRI,015,level2,0.20099732279777527,0.1749151349067688,0.252773642539978,0.2793758511543274,0.24673263728618622,0.16221395134925842,0.18099930882453918,0.31591737270355225,0.28766322135925293,0.25027787685394287,0.28291264176368713,0.2460891455411911,0.2571806311607361,0.26181650161743164,0.26473239064216614,0.2687411904335022,0.2507474422454834,0.2776244282722473,0.17913685739040375,0.2759774625301361,0.22217485308647156,0.2471892535686493,0.2123693972826004,0.27835988998413086,0.2312408685684204,0.21682488918304443,0.20538608729839325,0.1977841854095459,0.2512291967868805,0.21026942133903503,0.22055931389331818,0.265289306640625
CAMRI,015,level1,0.22484087944030762,0.24134096503257751,0.2695731520652771,0.2580385208129883,0.21953311562538147,0.15712861716747284,0.2684679627418518,0.2790297865867615,0.21613994240760803,0.21884706616401672,0.2448689043521881,0.2917132079601288,0.3073975741863251,0.16337653994560242,0.22434386610984802,0.2929893136024475,0.28173503279685974,0.25825467705726624,0.2190655767917633,0.2876090109348297,0.2541811764240265,0.15397322177886963,0.20669177174568176,0.3022764027118683,0.2977696657180786,0.3017941415309906,0.28325384855270386,0.26819896697998047,0.2650963366031647,0.28099745512008667,0.15040086209774017,0.30299025774002075
CAMRI,106,level4,0.3431045413017273,0.30689626932144165,-0.18318898975849152,-1.1714948415756226,-0.3116505742073059,1.7614238262176514,-0.3043670654296875,0.317423552274704,-1.0021826028823853,1.3148629665374756,-0.595317542552948,0.4791005253791809,0.5878918170928955,0.9539840817451477,0.9734328389167786,-1.0888532400131226,0.6111589074134827,1.3965827226638794,-0.28360089659690857,1.9158096313476562,-1.5634528398513794,1.1077220439910889,0.09471958875656128,2.572174072265625,0.6073295474052429,-0.12408635765314102,-0.8298311233520508,0.7886491417884827,-0.5076323747634888,0.5154653787612915,1.1521916389465332,0.962319552898407
CAMRI,106,level3,0.2153281420469284,0.25679391622543335,0.2751660943031311,0.28699445724487305,0.2764988839626312,0.2561241090297699,0.24270954728126526,0.27148550748825073,0.2364341765642166,0.265419065952301,0.26014575362205505,0.27735036611557007,0.24575302004814148,0.2747795581817627,0.28663572669029236,0.2664453387260437,0.23119740188121796,0.27301907539367676,0.2298060953617096,0.24263182282447815,0.27654892206192017,0.25283485651016235,0.22516031563282013,0.2443479597568512,0.2364635467529297,0.2755354344844818,0.2133728563785553,0.24874182045459747,0.22682413458824158,0.23759660124778748,0.28119009733200073,0.26402825117111206
