domain,subject,threshold,dice,precision,recall,volume_ratio
CAMRI,041,0.5,0.9888344889562125,0.992710200288454,0.9849889228189929,0.9922220226333752
CAMRI,041,0.6,0.9884685888695244,0.9938443100724519,0.983150709538351,0.9892401652595653
CAMRI,041,0.7,0.9878344031621507,0.994874379793882,0.9808933596790611,0.985946949284474
CAMRI,013,0.3,0.9893517041079527,0.9902011346054668,0.9885037297060114,0.9982857978645605
CAMRI,013,0.4,0.989068425730116,0.9917183290787818,0.9864326458973234,0.9946701769782068
CAMRI,013,0.5,0.9886584280422643,0.9928025297338116,0.98454877870411,0.99168641216908
CAMRI,013,0.6,0.9881782500985636,0.9939333676615943,0.9824893959338892,0.9884861781483106
CAMRI,013,0.7,0.9875774750002211,0.9950468588532944,0.9802193944712593,0.9850987275120667
CAMRI,130,0.3,0.9878112568652012,0.9860603479073347,0.9895683949255378,1.003557639271925
CAMRI,130,0.4,0.9878855992387992,0.9879264693714317,0.9878447324875896,0.9999172642029784
CAMRI,130,0.5,0.9878108576598228,0.9894439755952463,0.9861831218974076,0.9967043574186432
CAMRI,130,0.6,0.9874861649142225,0.9907759578012215,0.9842181467181467,0.9933811362382791
CAMRI,130,0.7,0.9871204482375077,0.9922191185382809,0.9820739106453392,0.9897752344180916
CAMRI,129,0.3,0.9891549468344035,0.987745195296483,0.9905687282374399,1.0028585640855578
CAMRI,129,0.4,0.9892556582775218,0.9895478013883174,0.9889636876139943,0.9994097164649312
CAMRI,129,0.5,0.9891254871602337,0.9910055657638944,0.9872525286022219,0.996212900016581
CAMRI,129,0.6,0.9889166536346122,0.9922479067345058,0.9856076935831537,0.99330790913613
CAMRI,129,0.7,0.9885693338221082,0.9934693057369637,0.9837174597910794,0.9901840490797545
CAMRI,124,0.3,0.9889678586263627,0.988505521664934,0.9894306282722513,1.0009358638743455
CAMRI,124,0.4,0.9889674922752786,0.9903011372211905,0.9876374345549738,0.9973102094240838
CAMRI,124,0.5,0.9887453844260278,0.991756378600823,0.9857526178010472,0.993946335078534
CAMRI,124,0.6,0.988362766111323,0.9929456524610955,0.9838219895287958,0.9908115183246073
CAMRI,124,0.7,0.987851264436709,0.9942261671958794,0.9815575916230367,0.9872578534031413
CAMRI,104,0.3,0.9900229775675098,0.9903420935304679,0.9897040671945089,0.9993557515729897
CAMRI,104,0.4,0.9899917351881904,0.9919185691575849,0.9880723725803052,0.9961224674112653
CAMRI,104,0.5,0.9898837339261927,0.9932410314852758,0.9865490562061595,0.9932624860764067
CAMRI,104,0.6,0.9894778241665154,0.9943814417317808,0.9846223319384653,0.9901857482614324
CAMRI,104,0.7,0.9889182153993473,0.9954610898264965,0.9824607881506457,0.9869404220730349
CAMRI,011,0.3,0.9868283355320694,0.9850032550156833,0.9886601918678903,1.0037126139772492
CAMRI,011,0.4,0.9870173072867627,0.9870495562393812,0.9869850604413556,0.9999346579940004
CAMRI,011,0.5,0.9870049504950495,0.988657968924146,0.9853574504737296,0.9966616175116576
CAMRI,011,0.6,0.9869404541932407,0.9903346391937558,0.9835694555822864,0.9931687902818617
CAMRI,011,0.7,0.9865071853194355,0.991751413786065,0.9813181264664825,0.9894799370340669
CAMRI,101,0.3,0.990183256907312,0.9902870829240296,0.9900794526594571,0.9997903332597661
CAMRI,101,0.4,0.9900096449071297,0.991739060622671,0.9882862502758772,0.9965184286029574
CAMRI,101,0.5,0.9897841977509182,0.9930191099781743,0.9865702935334363,0.9935058485985434
CAMRI,101,0.6,0.9893190292042635,0.994127970138444,0.9845563893180314,0.9903718825866255
