domain,subject,region,bin_center,density
CAMRI,001,background,0.8500000238418579,0.0014606546125626935
CAMRI,001,background,0.8700000047683716,0.0011531518149922192
CAMRI,001,background,0.8899999856948853,0.001383782177990663
CAMRI,001,background,0.9099999666213989,0.001306901495450831
CAMRI,001,background,0.9300000071525574,0.0007687678766614795
CAMRI,001,background,0.949999988079071,0.0016144125409891068
CAMRI,001,background,0.9700000286102295,0.0009225187026711748
CAMRI,001,background,0.9900000095367432,0.005458251924296504
CAMRI,001,boundary,0.009999999776482582,0.6779630320435789
CAMRI,001,boundary,0.029999999329447746,1.0607770572959263
CAMRI,001,boundary,0.04999999701976776,1.09808777449564
CAMRI,001,boundary,0.07000000029802322,1.0216463051108609
CAMRI,001,boundary,0.09000000357627869,1.1259947678714952
CAMRI,001,boundary,0.10999999940395355,1.20213333173971
CAMRI,001,boundary,0.12999999523162842,1.3134583364449284
CAMRI,001,boundary,0.15000000596046448,1.2931350979577048
CAMRI,001,boundary,0.17000000178813934,1.1775619775086263
CAMRI,001,boundary,0.1899999976158142,1.1272085442202278
CAMRI,001,boundary,0.21000000834465027,1.0550138096872852
CAMRI,001,boundary,0.22999998927116394,0.9600686335998442
CAMRI,001,boundary,0.25,0.9148710897115735
CAMRI,001,boundary,0.26999998092651367,0.8930300004599164
CAMRI,001,boundary,0.2900000214576721,0.965224681203619
CAMRI,001,boundary,0.3100000023841858,1.0744283203254374
CAMRI,001,boundary,0.32999998331069946,1.127511043379589
CAMRI,001,boundary,0.3500000238418579,1.2706870488881081
CAMRI,001,boundary,0.3700000047683716,1.3192232538383193
CAMRI,001,boundary,0.38999998569488525,1.3061777112705166
CAMRI,001,boundary,0.4099999964237213,1.2873726119314388
CAMRI,001,boundary,0.4300000071525574,1.213962656875199
CAMRI,001,boundary,0.44999998807907104,1.2075925379860488
CAMRI,001,boundary,0.4699999988079071,1.1809004661284381
CAMRI,001,boundary,0.49000000953674316,1.1314544503109676
CAMRI,001,boundary,0.5099999904632568,1.1096156961463723
CAMRI,001,boundary,0.5299999713897705,1.0450012796429413
CAMRI,001,boundary,0.550000011920929,1.0058736053639612
CAMRI,001,boundary,0.5699999928474426,0.9767530184776704
CAMRI,001,boundary,0.5900000333786011,0.9276092636133858
CAMRI,001,boundary,0.6100000143051147,0.9236686152995361
CAMRI,001,boundary,0.6299999952316284,0.8884812394786015
CAMRI,001,boundary,0.6499999761581421,0.8890852686889581
CAMRI,001,boundary,0.6700000166893005,0.8408569463416466
CAMRI,001,boundary,0.6899999976158142,0.8526871847642024
CAMRI,001,boundary,0.7100000381469727,0.8493479195936823
CAMRI,001,boundary,0.7300000190734863,0.8281166895788945
CAMRI,001,boundary,0.75,0.8199265245171251
CAMRI,001,boundary,0.7699999809265137,0.8002094604795325
CAMRI,001,boundary,0.7899999618530273,0.8135539715536628
CAMRI,001,boundary,0.8100000023841858,0.8329701207266097
CAMRI,001,boundary,0.8299999833106995,0.7905025981841022
CAMRI,001,boundary,0.8500000238418579,0.7459094765288803
CAMRI,001,boundary,0.8700000047683716,0.6809970579137795
CAMRI,001,boundary,0.8899999856948853,0.6761436267660644
CAMRI,001,boundary,0.9099999666213989,0.6388309709515338
CAMRI,001,boundary,0.9300000071525574,0.5805917010454227
CAMRI,001,boundary,0.949999988079071,0.5347874445888612
CAMRI,001,boundary,0.9700000286102295,0.46501798597754107
CAMRI,001,boundary,0.9900000095367432,2.4779799403553073
CAMRI,002,whole,0.009999999776482582,7.143783729011947
CAMRI,002,whole,0.029999999329447746,10.039901957807734
CAMRI,002,whole,0.04999999701976776,8.334986555116572
CAMRI,002,whole,0.07000000029802322,5.234591283180618
CAMRI,002,whole,0.09000000357627869,2.946280950172388
CAMRI,002,whole,0.10999999940395355,1.772308719341786
CAMRI,002,whole,0.12999999523162842,1.227569378863824
CAMRI,002,whole,0.15000000596046448,0.9476345767609886
