domain,subject,level,zone,mean_attention,voxel_count
CAMRI,104,level4,false_negative,0.001570677850395441,2234
CAMRI,104,level4,true_background,0.0015615016454830766,2454240
CAMRI,104,level3,true_positive,0.0002469087776262313,163851
CAMRI,104,level3,false_positive,0.00021147333609405905,1115
CAMRI,104,level3,false_negative,0.00022988214914221317,2234
CAMRI,104,level3,true_background,0.0001918289199238643,2454240
CAMRI,104,level2,true_positive,3.261928941356018e-05,163851
CAMRI,104,level2,false_positive,2.5844492483884096e-05,1115
CAMRI,104,level2,false_negative,2.4854800358298235e-05,2234
CAMRI,104,level2,true_background,2.3865210096118972e-05,2454240
CAMRI,104,level1,true_positive,6.706305612169672e-06,163851
CAMRI,104,level1,false_positive,3.31331602865248e-06,1115
CAMRI,104,level1,false_negative,3.1952367862686515e-06,2234
CAMRI,104,level1,true_background,2.807522605507984e-06,2454240
CAMRI,011,level4,true_positive,0.0015772307524457574,165880
CAMRI,011,level4,false_positive,0.0015711275627836585,1903
CAMRI,011,level4,false_negative,0.0015719408402219415,2465
CAMRI,011,level4,true_background,0.00156148720998317,2451192
CAMRI,011,level3,true_positive,0.00023555256484542042,165880
CAMRI,011,level3,false_positive,0.00019987324776593596,1903
CAMRI,011,level3,false_negative,0.00022787331545259804,2465
CAMRI,011,level3,true_background,0.00019255299412179738,2451192
CAMRI,011,level2,true_positive,3.213476520613767e-05,165880
CAMRI,011,level2,false_positive,2.544869130360894e-05,1903
CAMRI,011,level2,false_negative,2.5716979507706128e-05,2465
CAMRI,011,level2,true_background,2.388945904385764e-05,2451192
CAMRI,011,level1,true_positive,6.6403313212504145e-06,165880
CAMRI,011,level1,false_positive,3.258080369050731e-06,1903
CAMRI,011,level1,false_negative,3.088081712121493e-06,2465
CAMRI,011,level1,true_background,2.808712224577903e-06,2451192
CAMRI,101,level4,true_positive,0.0015756558859720826,178806
CAMRI,101,level4,false_positive,0.0015710165025666356,1257
CAMRI,101,level4,false_negative,0.0015708577120676637,2434
CAMRI,101,level4,true_background,0.0015615232987329364,2438943
CAMRI,101,level3,true_positive,0.0002396097406744957,178806
CAMRI,101,level3,false_positive,0.00020913271873723716,1257
CAMRI,101,level3,false_negative,0.00021702417870983481,2434
CAMRI,101,level3,true_background,0.00019203608098905534,2438943
CAMRI,101,level2,true_positive,3.168859984725714e-05,178806
CAMRI,101,level2,false_positive,2.5049850592040457e-05,1257
CAMRI,101,level2,false_negative,2.5247951271012425e-05,2434
CAMRI,101,level2,true_background,2.3879600121290423e-05,2438943
CAMRI,101,level1,true_positive,6.437996489694342e-06,178806
CAMRI,101,level1,false_positive,3.348228119648411e-06,1257
CAMRI,101,level1,false_negative,3.1694710287411e-06,2434
CAMRI,101,level1,true_background,2.803230927383993e-06,2438943
CAMRI,122,level4,true_positive,0.0015770677709951997,148316
CAMRI,122,level4,false_positive,0.0015720464289188385,1459
CAMRI,122,level4,false_negative,0.0015731824096292257,1784
CAMRI,122,level4,true_background,0.0015616117743775249,2469881
CAMRI,122,level3,true_positive,0.000245576084125787,148316
CAMRI,122,level3,false_positive,0.00021437110262922943,1459
CAMRI,122,level3,false_negative,0.00022062231437303126,1784
CAMRI,122,level3,true_background,0.0001922646479215473,2469881
CAMRI,122,level2,true_positive,3.300800744909793e-05,148316
CAMRI,122,level2,false_positive,2.57840638369089e-05,1459
CAMRI,122,level2,false_negative,2.559658605605364e-05,1784
CAMRI,122,level2,true_background,2.389633664279245e-05,2469881
