epoch,loss,dice_loss,bce_loss,tversky_loss,train_dice,train_precision,train_recall,train_false_positives,train_false_negatives,train_volume_ratio,validation_dice,validation_precision,validation_recall,validation_false_positives,validation_false_negatives,validation_volume_ratio
11,0.06542070277712562,0.08379384062506935,0.01737739679149606,0.07671773433685303,0.9411823499710299,0.9589552702038464,0.9242831694491275,2181.7272727272725,4144.727272727273,0.964210374667347,0.9422137076016552,0.9642340185566616,0.9213118422840394,1898.6,4353.5,0.9555718240802757
12,0.0693595792082223,0.08792265436866066,0.018579374575479465,0.08301363749937578,0.9408649018712776,0.963923821229466,0.919074113849528,1895.5454545454545,4429.909090909091,0.9537492745110682,0.9416874415371357,0.9695863507032959,0.9154981365630086,1595.2,4674.7,0.9442637846613102
13,0.07814379307356747,0.09939504211599176,0.02281783326444301,0.09096725962378761,0.9407739730613275,0.9628041048921113,0.9199114405497614,1956.5454545454545,4383.727272727273,0.95572065639753,0.9413899749814579,0.9681285640966024,0.9162242035204077,1674.8,4634.5,0.9464331585521691
14,0.060536451299082146,0.07755217227068814,0.01586251553486694,0.07117894020947543,0.9435434753376729,0.9527877446950529,0.9346943147942216,2548.3636363636365,3574.090909090909,0.9813699243412224,0.9448163572035014,0.95816727359741,0.9319468379283127,2257.6,3764.6,0.9727122717978544
15,0.06804200024767355,0.0863844860683788,0.018029403618790886,0.08136962218718095,0.9419447575857511,0.9615090508260102,0.9233214427464241,2031.090909090909,4196.727272727273,0.9605177486485096,0.9426013701515285,0.9670326520890236,0.9195054670019998,1739.5,4452.5,0.950891597340372
16,0.05519820174032992,0.07187984748320146,0.013075906106016853,0.06395720893686468,0.9454219018600409,0.9515167682075364,0.9395993862750082,2630.6363636363635,3305.0,0.9877974807921,0.9466650185164063,0.956949902476327,0.9367118838240664,2337.1,3500.5,0.9789283690062316
17,0.05483571304516359,0.06966276060451161,0.012675290842625227,0.06734204292297363,0.9448694733295404,0.9628778940420465,0.9276560901708194,1962.1818181818182,3958.6363636363635,0.9636139871415424,0.9454129830522134,0.9684632097181396,0.9235784937381284,1668.6,4226.3,0.9536997436150163
18,0.06633839519186453,0.08557945489883423,0.019715976308692585,0.07447869127446954,0.9463189703851462,0.957983381624523,0.9350822729034174,2249.909090909091,3552.3636363636365,0.976320894633966,0.947038724799771,0.963444448727208,0.9313137924714713,1960.2,3798.7,0.9667154949157537
19,0.06930298595265909,0.08708487857471812,0.019083636728200046,0.08395854993300005,0.9423465658861768,0.9660811521971401,0.9198637245878193,1770.909090909091,4385.454545454545,0.9523048327529003,0.9424058534044152,0.9715869188232892,0.9150653622493564,1483.7,4698.1,0.9418482798178271
20,0.05740215934135697,0.07478666305541992,0.014021328057755123,0.06601398099552501,0.9447170724862417,0.9520482794138135,0.9376553058428369,2589.909090909091,3411.2727272727275,0.9851423083978254,0.9452323110196037,0.9570128151240768,0.9338492877685404,2325.8,3659.0,0.9758817928204817
21,0.057535306296565315,0.07324498349970038,0.014318919571285898,0.06933233412829312,0.9449978005594393,0.9562852369794629,0.9341112413464772,2341.181818181818,3605.0,0.9770267120486209,0.9456849587747426,0.9616760227862056,0.9303367793336441,2055.8,3852.9,0.9674727998847873
