task,transform,self_consistency_dice,transformed_vs_expert_dice,baseline_vs_expert_dice,accuracy_delta,subject
lesion,axis1_+5deg,0.9438018332605849,0.8853313928809654,0.8795508060134034,0.005780586867561999,20170628CH_Exp6_ZFPtm1a_M12
lesion,axis1_+10deg,0.9061341243775823,0.8579308726013731,0.8795508060134034,-0.02161993341203028,20170628CH_Exp6_ZFPtm1a_M12
lesion,axis1_+20deg,0.7749129534135484,0.7019950124688279,0.8795508060134034,-0.1775557935445755,20170628CH_Exp6_ZFPtm1a_M12
lesion,axis1_+30deg,0.6369211249735673,0.5527376870030524,0.8795508060134034,-0.32681311901035104,20170628CH_Exp6_ZFPtm1a_M12
lesion,axis2_+5deg,0.9562891231073779,0.865313872077845,0.8795508060134034,-0.01423693393555836,20170628CH_Exp6_ZFPtm1a_M12
lesion,axis2_+10deg,0.9374802652352384,0.8490533061462278,0.8795508060134034,-0.030497499867175648,20170628CH_Exp6_ZFPtm1a_M12
lesion,axis2_+20deg,0.8996711358461927,0.8119143239625167,0.8795508060134034,-0.06763648205088668,20170628CH_Exp6_ZFPtm1a_M12
lesion,axis2_+30deg,0.8084812168702467,0.7261557055091147,0.8795508060134034,-0.15339510050428873,20170628CH_Exp6_ZFPtm1a_M12
lesion,resampling_floor,1.0,0.8859636571755616,0.8859636571755616,0.0,20170628CH_Exp6_ZFPtm1a_M14
lesion,axis0_+5deg,0.9468223086900129,0.8732937964793372,0.8859636571755616,-0.012669860696224333,20170628CH_Exp6_ZFPtm1a_M14
lesion,axis0_+10deg,0.9283905335778535,0.8527238514846941,0.8859636571755616,-0.033239805690867485,20170628CH_Exp6_ZFPtm1a_M14
lesion,axis0_+20deg,0.8299398875315106,0.7546206225680934,0.8859636571755616,-0.1313430346074682,20170628CH_Exp6_ZFPtm1a_M14
lesion,axis0_+30deg,0.7365959465871348,0.6620645933856937,0.8859636571755616,-0.2238990637898679,20170628CH_Exp6_ZFPtm1a_M14
lesion,axis1_+5deg,0.9515162520428545,0.886923260817595,0.8859636571755616,0.000959603642033402,20170628CH_Exp6_ZFPtm1a_M14
lesion,axis1_+10deg,0.9280392672451573,0.8554710896106887,0.8859636571755616,-0.03049256756487284,20170628CH_Exp6_ZFPtm1a_M14
lesion,axis1_+20deg,0.808170985435975,0.736750651607298,0.8859636571755616,-0.14921300556826356,20170628CH_Exp6_ZFPtm1a_M14
lesion,axis1_+30deg,0.7358368734069669,0.6656541395874541,0.8859636571755616,-0.22030951758810746,20170628CH_Exp6_ZFPtm1a_M14
lesion,axis2_+5deg,0.9528155597891099,0.8678348401528567,0.8859636571755616,-0.018128817022704857,20170628CH_Exp6_ZFPtm1a_M14
lesion,axis2_+10deg,0.9501837665500598,0.8659524918490917,0.8859636571755616,-0.02001116532646985,20170628CH_Exp6_ZFPtm1a_M14
lesion,axis2_+20deg,0.9180868132344651,0.8387096774193549,0.8859636571755616,-0.04725397975620671,20170628CH_Exp6_ZFPtm1a_M14
lesion,axis2_+30deg,0.8738734962484805,0.7971333098839254,0.8859636571755616,-0.08883034729163619,20170628CH_Exp6_ZFPtm1a_M14
lesion,resampling_floor,0.9998126990073047,0.25765472312703586,0.25741283805799936,0.00024188506903649598,20170628CH_Exp6_ZFPtm1a_M18
lesion,axis0_+5deg,0.7317324690630524,0.17526001327727372,0.25741283805799936,-0.08215282478072564,20170628CH_Exp6_ZFPtm1a_M18
