task,transform,stage,relative_l2,cosine,subject
lesion,axis1_+20deg,query_mask_embedding,0.06290561705827713,0.9981211423873901,20170222CH_Exp3_zfp_M03
lesion,axis1_+30deg,input,0.13339181244373322,0.9913794994354248,20170222CH_Exp3_zfp_M03
lesion,axis1_+30deg,encoder_level0,0.5595898628234863,0.8305844664573669,20170222CH_Exp3_zfp_M03
lesion,axis1_+30deg,encoder_level1,0.4121008813381195,0.9115930795669556,20170222CH_Exp3_zfp_M03
lesion,axis1_+30deg,encoder_level2,0.48916274309158325,0.874415397644043,20170222CH_Exp3_zfp_M03
lesion,axis1_+30deg,encoder_level3,0.3299814462661743,0.9440011978149414,20170222CH_Exp3_zfp_M03
lesion,axis1_+30deg,encoder_level4,0.4591561555862427,0.8883687257766724,20170222CH_Exp3_zfp_M03
lesion,axis1_+30deg,canvas_level4,0.4591561555862427,0.8883687257766724,20170222CH_Exp3_zfp_M03
lesion,axis1_+30deg,canvas_level3,0.4833303391933441,0.8768607974052429,20170222CH_Exp3_zfp_M03
lesion,axis1_+30deg,canvas_level2,0.5476692318916321,0.8406397104263306,20170222CH_Exp3_zfp_M03
lesion,axis1_+30deg,canvas_level1,0.4323081970214844,0.9026563763618469,20170222CH_Exp3_zfp_M03
lesion,axis1_+30deg,canvas_level0,0.39720264077186584,0.9186803698539734,20170222CH_Exp3_zfp_M03
lesion,axis1_+30deg,output_logits,0.2569133937358856,0.9673250317573547,20170222CH_Exp3_zfp_M03
lesion,axis1_+30deg,query_mask_embedding,0.08718283474445343,0.9964406490325928,20170222CH_Exp3_zfp_M03
lesion,axis2_+5deg,input,0.10719776898622513,0.9944024085998535,20170222CH_Exp3_zfp_M03
lesion,axis2_+5deg,encoder_level0,0.33553045988082886,0.942937433719635,20170222CH_Exp3_zfp_M03
lesion,axis2_+5deg,encoder_level1,0.20448161661624908,0.9789167642593384,20170222CH_Exp3_zfp_M03
lesion,axis2_+5deg,encoder_level2,0.24008266627788544,0.9707837104797363,20170222CH_Exp3_zfp_M03
lesion,axis2_+5deg,encoder_level3,0.1947350949048996,0.980857253074646,20170222CH_Exp3_zfp_M03
lesion,axis2_+5deg,encoder_level4,0.1283942312002182,0.9917572736740112,20170222CH_Exp3_zfp_M03
lesion,axis2_+5deg,canvas_level4,0.1283942312002182,0.9917572736740112,20170222CH_Exp3_zfp_M03
lesion,axis2_+5deg,canvas_level3,0.24728025496006012,0.9689611196517944,20170222CH_Exp3_zfp_M03
lesion,axis2_+5deg,canvas_level2,0.28598296642303467,0.9582363963127136,20170222CH_Exp3_zfp_M03
lesion,axis2_+5deg,canvas_level1,0.2073923498392105,0.97826087474823,20170222CH_Exp3_zfp_M03
lesion,axis2_+5deg,canvas_level0,0.19391979277133942,0.9810569286346436,20170222CH_Exp3_zfp_M03
lesion,axis2_+5deg,output_logits,0.0886526107788086,0.9960654973983765,20170222CH_Exp3_zfp_M03
lesion,axis2_+5deg,query_mask_embedding,0.021461965516209602,0.9997753500938416,20170222CH_Exp3_zfp_M03
lesion,axis2_+10deg,input,0.10554060339927673,0.9945799112319946,20170222CH_Exp3_zfp_M03
lesion,axis2_+10deg,encoder_level0,0.3492332398891449,0.9378684759140015,20170222CH_Exp3_zfp_M03
lesion,axis2_+10deg,encoder_level1,0.2206564098596573,0.9753713607788086,20170222CH_Exp3_zfp_M03
lesion,axis2_+10deg,encoder_level2,0.2584460973739624,0.9660274386405945,20170222CH_Exp3_zfp_M03
lesion,axis2_+10deg,encoder_level3,0.21629567444324493,0.9763286113739014,20170222CH_Exp3_zfp_M03
lesion,axis2_+10deg,encoder_level4,0.1726849526166916,0.9850590229034424,20170222CH_Exp3_zfp_M03
lesion,axis2_+10deg,canvas_level4,0.1726849526166916,0.9850590229034424,20170222CH_Exp3_zfp_M03
lesion,axis2_+10deg,canvas_level3,0.287443608045578,0.9578067064285278,20170222CH_Exp3_zfp_M03
lesion,axis2_+10deg,canvas_level2,0.3210677206516266,0.9471258521080017,20170222CH_Exp3_zfp_M03
lesion,axis2_+10deg,canvas_level1,0.23236045241355896,0.9726361632347107,20170222CH_Exp3_zfp_M03
lesion,axis2_+10deg,canvas_level0,0.21814027428627014,0.9759585857391357,20170222CH_Exp3_zfp_M03
lesion,axis2_+10deg,output_logits,0.10101209580898285,0.9949222803115845,20170222CH_Exp3_zfp_M03
lesion,axis2_+10deg,query_mask_embedding,0.026841161772608757,0.999650239944458,20170222CH_Exp3_zfp_M03
lesion,axis2_+20deg,input,0.10428903996944427,0.9947188496589661,20170222CH_Exp3_zfp_M03
lesion,axis2_+20deg,encoder_level0,0.4109652042388916,0.9119836688041687,20170222CH_Exp3_zfp_M03
lesion,axis2_+20deg,encoder_level1,0.2844780385494232,0.9586836099624634,20170222CH_Exp3_zfp_M03
lesion,axis2_+20deg,encoder_level2,0.32791075110435486,0.9447311162948608,20170222CH_Exp3_zfp_M03
lesion,axis2_+20deg,encoder_level3,0.219904363155365,0.9755215048789978,20170222CH_Exp3_zfp_M03
lesion,axis2_+20deg,encoder_level4,0.23337960243225098,0.9723900556564331,20170222CH_Exp3_zfp_M03
lesion,axis2_+20deg,canvas_level4,0.23337960243225098,0.9723900556564331,20170222CH_Exp3_zfp_M03
lesion,axis2_+20deg,canvas_level3,0.3312036097049713,0.9437763094902039,20170222CH_Exp3_zfp_M03
lesion,axis2_+20deg,canvas_level2,0.39583534002304077,0.9188886880874634,20170222CH_Exp3_zfp_M03
lesion,axis2_+20deg,canvas_level1,0.3017493188381195,0.9535160660743713,20170222CH_Exp3_zfp_M03
lesion,axis2_+20deg,canvas_level0,0.3074362874031067,0.9518347978591919,20170222CH_Exp3_zfp_M03
lesion,axis2_+20deg,output_logits,0.17980720102787018,0.9838693737983704,20170222CH_Exp3_zfp_M03
lesion,axis2_+20deg,query_mask_embedding,0.03497253730893135,0.9994106292724609,20170222CH_Exp3_zfp_M03
lesion,axis2_+30deg,input,0.10703271627426147,0.9944311380386353,20170222CH_Exp3_zfp_M03
lesion,axis2_+30deg,encoder_level0,0.4760654866695404,0.8794100284576416,20170222CH_Exp3_zfp_M03
lesion,axis2_+30deg,encoder_level1,0.344735711812973,0.9387906789779663,20170222CH_Exp3_zfp_M03
lesion,axis2_+30deg,encoder_level2,0.3955019414424896,0.9187262654304504,20170222CH_Exp3_zfp_M03
lesion,axis2_+30deg,encoder_level3,0.2495947629213333,0.9683524966239929,20170222CH_Exp3_zfp_M03
