transform,stage,n,mean_relative_l2,sd_relative_l2,mean_cosine
axis1_+5deg,query_mask_embedding,15,0.018524244365592798,0.007699075414905442,0.9998127539952596
axis1_+10deg,input,15,0.1261532629529635,0.005973302724522123,0.9922755201657613
axis1_+10deg,encoder_level0,15,0.40801812410354615,0.005520194957382675,0.9132893403371175
axis1_+10deg,encoder_level1,15,0.2644180456797282,0.003375925066248922,0.9644084533055624
axis1_+10deg,encoder_level2,15,0.31546717286109927,0.00283814547406609,0.9489535013834636
axis1_+10deg,encoder_level3,15,0.22824088831742603,0.005334538601365644,0.9735901276270549
axis1_+10deg,encoder_level4,15,0.2599068284034729,0.004865297840201821,0.9661725163459778
axis1_+10deg,canvas_level4,15,0.2599068284034729,0.004865297840201821,0.9661725163459778
axis1_+10deg,canvas_level3,15,0.3246424853801727,0.004359473477740577,0.9458423177401225
axis1_+10deg,canvas_level2,15,0.36051060756047565,0.00417300458654525,0.9329470316569011
axis1_+10deg,canvas_level1,15,0.2696388244628906,0.008086438386217282,0.9630282243092855
axis1_+10deg,canvas_level0,15,0.22510853509108225,0.0058088045087674985,0.9744197010993958
axis1_+10deg,output_logits,15,0.08714881141980489,0.0018777064171742615,0.9962259332338969
axis1_+10deg,query_mask_embedding,15,0.023171803820878266,0.01044729414471171,0.9996962626775105
axis1_+20deg,input,15,0.12779153833786647,0.005885191684424744,0.9920822580655416
axis1_+20deg,encoder_level0,15,0.49377209146817524,0.0049127361692354364,0.8697112162907918
axis1_+20deg,encoder_level1,15,0.3444010357062022,0.0030538111233073197,0.9388949553171794
axis1_+20deg,encoder_level2,15,0.40811253984769186,0.0031680191646526073,0.9134748975435892
axis1_+20deg,encoder_level3,15,0.2758094251155853,0.00524438775734092,0.9611975073814392
axis1_+20deg,encoder_level4,15,0.363161689043045,0.005455038875022209,0.9319994727770488
axis1_+20deg,canvas_level4,15,0.363161689043045,0.005455038875022209,0.9319994727770488
axis1_+20deg,canvas_level3,15,0.4099050462245941,0.007043838194385736,0.9125095208485922
axis1_+20deg,canvas_level2,15,0.4584078311920166,0.0048389102571087346,0.8900739471117656
axis1_+20deg,canvas_level1,15,0.3560672422250112,0.007794873325361321,0.9347673455874125
axis1_+20deg,canvas_level0,15,0.3187457263469696,0.004857206419861477,0.948151155312856
axis1_+20deg,output_logits,15,0.18232694864273072,0.002579095920912496,0.9834068775177002
axis1_+20deg,query_mask_embedding,15,0.030353479739278554,0.017923310342905566,0.9994201540946961
axis1_+30deg,input,15,0.13132154097159704,0.006115961816301358,0.9916310707728068
axis1_+30deg,encoder_level0,15,0.5632106383641561,0.0048491614176464646,0.8281687458356222
axis1_+30deg,encoder_level1,15,0.41401340564092,0.0026345818143825883,0.9107469399770101
axis1_+30deg,encoder_level2,15,0.48744552532831825,0.004063144061035132,0.8753779212633769
axis1_+30deg,encoder_level3,15,0.3250621179739634,0.005663823041116487,0.9456891934076945
axis1_+30deg,encoder_level4,15,0.456143977244695,0.005573831877783252,0.8898976008097331
axis1_+30deg,canvas_level4,15,0.456143977244695,0.005573831877783252,0.8898976008097331
axis1_+30deg,canvas_level3,15,0.489591912428538,0.00829228254399481,0.87359166542689
axis1_+30deg,canvas_level2,15,0.5463856259981791,0.0065375307459672165,0.8416845361391704
axis1_+30deg,canvas_level1,15,0.43406242529551187,0.007062698337642384,0.9019174416859944
axis1_+30deg,canvas_level0,15,0.3967807114124298,0.004172579921095576,0.9188567638397217
axis1_+30deg,output_logits,15,0.2523238480091095,0.004056218849333387,0.968106738726298
axis1_+30deg,query_mask_embedding,15,0.05282051886121432,0.01839540247407705,0.9985716899236043
axis2_+5deg,input,15,0.10358976771434149,0.003623156175802759,0.994761594136556
axis2_+5deg,encoder_level0,15,0.3355284571647644,0.002778809668272582,0.9429833173751831
axis2_+5deg,encoder_level1,15,0.20567883451779684,0.002339934786755868,0.9786542216936748
axis2_+5deg,encoder_level2,15,0.23869373897711435,0.003119159041249674,0.9711179415384928
axis2_+5deg,encoder_level3,15,0.19147391120592752,0.0057446588011461725,0.9814807812372843
axis2_+5deg,encoder_level4,15,0.1153955747683843,0.0072757191983036885,0.993381941318512
axis2_+5deg,canvas_level4,15,0.1153955747683843,0.0072757191983036885,0.993381941318512
axis2_+5deg,canvas_level3,15,0.24590198000272115,0.0038022237166698038,0.9693059206008912
axis2_+5deg,canvas_level2,15,0.2838671366373698,0.002533186781334269,0.9588646411895752
axis2_+5deg,canvas_level1,15,0.20997433165709178,0.004272647024808006,0.977704385916392
axis2_+5deg,canvas_level0,15,0.1924650420745214,0.0032238108747077105,0.9813353617986044
axis2_+5deg,output_logits,15,0.08888690223296483,0.0025738503507685673,0.9960395097732544
axis2_+5deg,query_mask_embedding,15,0.011222951424618563,0.005273748369352305,0.9999258955319722
axis2_+10deg,input,15,0.10268310556809107,0.0038154030669685004,0.9948558966318767
axis2_+10deg,encoder_level0,15,0.3506960868835449,0.003219958852935413,0.937355923652649
axis2_+10deg,encoder_level1,15,0.2212847868601481,0.001994928579380161,0.9752224326133728
axis2_+10deg,encoder_level2,15,0.2559005876382192,0.0027052029336567646,0.9667006889979045
axis2_+10deg,encoder_level3,15,0.21103287736574808,0.004547184029615309,0.9774695992469787
axis2_+10deg,encoder_level4,15,0.1610146790742874,0.006056124117191512,0.987138819694519
axis2_+10deg,canvas_level4,15,0.1610146790742874,0.006056124117191512,0.987138819694519
axis2_+10deg,canvas_level3,15,0.28625306288401287,0.005379898143002611,0.9581474820772807
axis2_+10deg,canvas_level2,15,0.3204425096511841,0.003234447220230605,0.9473346829414367
axis2_+10deg,canvas_level1,15,0.23586188058058422,0.004269653000134048,0.9717883586883544
axis2_+10deg,canvas_level0,15,0.21742003659407297,0.002929431774342039,0.9761153101921082
axis2_+10deg,output_logits,15,0.10172032912572225,0.002414570674265396,0.9948272546132405
axis2_+10deg,query_mask_embedding,15,0.01396232210099697,0.006378571553079379,0.9998865604400635
