mouse_id,timepoint,scan_id,dice,predicted_brain_volume_mm3,change_from_previous_percent,large_volume_change_flag
mouse-37,20190517,POLYIC_20190517_mouse37__E3_P1,0.9201906588337685,510.31218968192115,-16.796698845140924,False
mouse-38,20190510,POLYIC_20190510_mouse38__E2_P1,0.898330972816386,547.2759836899033,,False
mouse-38,20190517,POLYIC_20190517_mouse38__E3_P1,0.9025916281556894,539.7321849805764,-1.3784267781064095,False
mouse-38,20190619,POLYIC_20190619_mouse38__E3_P1,0.862456151469967,563.087983218669,4.32729395949087,False
mouse-39,20190510,POLYIC_20190510_mouse39__E4_P1,0.8431501398285928,624.1958418788263,,False
mouse-39,20190517,POLYIC_20190517_mouse39__E12_P1,0.9230808187126315,499.233020040323,-20.019810042688814,True
mouse-39,20190619,POLYIC_20190619_mouse39__E3_P1,0.9030055575406195,533.0477855380707,6.773343136440863,False
mouse-40,20190510,POLYIC_20190510_mouse40__E2_P1,0.8944586256147585,541.6600242140893,,False
mouse-40,20190517,POLYIC_20190517_mouse40__E3_P1,0.9384235837366574,501.6400224250558,-7.388398626444639,False
mouse-40,20190619,POLYIC_20190619_mouse40__E3_P1,0.8984459993858488,535.5995051741448,6.769691657559585,False
mouse-41,20190510,POLYIC_20190510_mouse41__E2_P1,0.8561986987223293,616.8082573523594,,False
mouse-41,20190517,POLYIC_20190517_mouse41__E3_P1,0.8783533835782282,574.2319828865519,-6.902675824828537,False
mouse-41,20190619,POLYIC_20190619_mouse41__E3_P1,0.8489232103920142,604.9801622682854,5.354661582444158,False
mouse-42,20190510,POLYIC_20190510_mouse42__E2_P1,0.8712714215563482,573.056239097602,,False
mouse-42,20190517,POLYIC_20190517_mouse42__E4_P1,0.8932941222035641,562.111731964103,-1.909848700143883,False
mouse-42,20190619,POLYIC_20190619_mouse42__E3_P1,0.8617063109656615,576.8596819522878,2.6236687742939035,False
mouse-43,20190510,POLYIC_20190510_mouse43__E2_P1_1,0.91958921999765,357.276015971482,,False
mouse-43,20190510,POLYIC_20190510_mouse43__E9_P1,0.9077276832762992,545.0639431453923,52.56102250896674,True
mouse-43,20190517,POLYIC_20190517_mouse43__E3_P1,0.8655824344118395,609.0236188430669,11.73434355767205,False
mouse-43,20190619,POLYIC_20190619_mouse43__E3_P1,0.9211857018339864,534.8399043631521,-12.18076149835339,False
mouse-44,20190510,POLYIC_20190510_mouse44__E4_P1,0.8788498972894395,578.779853383596,,False
mouse-44,20190517,POLYIC_20190517_mouse44__E3_P1,0.8884479017875683,579.1926300362533,0.0713184210272946,False
mouse-44,20190619,POLYIC_20190619_mouse44__E4_P1,0.9052305030221157,550.6361066665081,-4.930401715912324,False
