scan_id,mouse_id,timepoint,slice_index,dice,iou,false_positives,false_negatives,error,brain_voxels,brain_position,expert_foreground_present,prediction_foreground_present
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,22,0.9342259807376087,0.8765704209830284,527,33,560,4010,middle 60%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,23,0.9326411749810078,0.8737841043890866,490,42,532,3725,middle 60%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,24,0.9277292273546955,0.8652005174644243,472,49,521,3393,middle 60%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,25,0.931390977443609,0.8715919085312225,387,51,438,3024,middle 60%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,26,0.8970149253731343,0.8132611637347767,486,66,552,2470,middle 60%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,27,0.8401148875059837,0.7243087082129591,622,46,668,1801,middle 60%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,28,0.7913669064748201,0.6547619047619048,652,44,696,1364,last 20%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,29,0.770879526977088,0.6271797955502104,609,11,620,1054,last 20%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,30,0.8435595286468915,0.7294448348559381,342,43,385,1081,last 20%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,31,0.8925459825750242,0.8059440559440559,150,72,222,994,last 20%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,32,0.8822815533980582,0.7893593919652552,98,96,194,823,last 20%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,33,0.8259109311740891,0.7034482758620689,153,62,215,572,last 20%,True,True
POLYIC_20190510_mouse31__E2_P1,mouse-31,20190510,34,0.8064918851435705,0.6757322175732218,129,26,155,349,last 20%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,0,0.2883742052679382,0.16847970283894934,3134,0,3134,635,first 20%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,1,0.5938395415472779,0.42231278655119714,2268,0,2268,1658,first 20%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,2,0.744991184484693,0.5936143039591315,1591,0,1591,2324,first 20%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,3,0.7842163355408388,0.6450295052201543,1564,0,1564,2842,first 20%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,4,0.8083009079118029,0.6782760121898128,1463,15,1478,3131,first 20%,True,True
