task,transform,stage,relative_l2,cosine,subject
brain,axis1_+10deg,input,0.14936205744743347,0.9891777634620667,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+10deg,encoder_level0,0.4007672071456909,0.9166661500930786,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+10deg,encoder_level1,0.2594117522239685,0.9657965898513794,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+10deg,encoder_level2,0.30807802081108093,0.9513812065124512,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+10deg,encoder_level3,0.2105192244052887,0.9775902628898621,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+10deg,encoder_level4,0.24768616259098053,0.9690205454826355,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+10deg,canvas_level4,0.24768616259098053,0.9690205454826355,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+10deg,canvas_level3,0.3332619369029999,0.9428455829620361,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+10deg,canvas_level2,0.3548085689544678,0.9352383017539978,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+10deg,canvas_level1,0.3010327219963074,0.9537799954414368,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+10deg,canvas_level0,0.2821619510650635,0.9597021341323853,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+10deg,output_logits,0.11870560050010681,0.9929409623146057,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+10deg,query_mask_embedding,0.0082986019551754,0.9999750256538391,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+20deg,input,0.15027135610580444,0.989059329032898,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+20deg,encoder_level0,0.47019362449645996,0.8825657367706299,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+20deg,encoder_level1,0.33632516860961914,0.9417757391929626,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+20deg,encoder_level2,0.40326759219169617,0.915631115436554,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+20deg,encoder_level3,0.2540636658668518,0.9671912789344788,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+20deg,encoder_level4,0.3536246418952942,0.93540358543396,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+20deg,canvas_level4,0.3536246418952942,0.93540358543396,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+20deg,canvas_level3,0.43791425228118896,0.8999487161636353,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+20deg,canvas_level2,0.47540444135665894,0.8821680545806885,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+20deg,canvas_level1,0.4205305874347687,0.9087905287742615,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+20deg,canvas_level0,0.4014981687068939,0.9176278114318848,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+20deg,output_logits,0.21858036518096924,0.9758267402648926,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+20deg,query_mask_embedding,0.008502147160470486,0.9999725818634033,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+30deg,input,0.15272048115730286,0.9886934757232666,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+30deg,encoder_level0,0.5281583666801453,0.8498778343200684,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+30deg,encoder_level1,0.40649640560150146,0.914018988609314,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+30deg,encoder_level2,0.4841216206550598,0.8772203922271729,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+30deg,encoder_level3,0.3032239079475403,0.9529195427894592,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+30deg,encoder_level4,0.4510123133659363,0.893021285533905,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+30deg,canvas_level4,0.4510123133659363,0.893021285533905,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+30deg,canvas_level3,0.5158671140670776,0.8601900339126587,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+30deg,canvas_level2,0.5624332427978516,0.8330491781234741,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+30deg,canvas_level1,0.5038057565689087,0.868039608001709,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+30deg,canvas_level0,0.4760764241218567,0.8831602931022644,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+30deg,output_logits,0.28061777353286743,0.9598230719566345,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+30deg,query_mask_embedding,0.008032428100705147,0.9999743700027466,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+5deg,input,0.13175930082798004,0.9915576577186584,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+5deg,encoder_level0,0.3356785178184509,0.9429458379745483,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+5deg,encoder_level1,0.19776411354541779,0.9802854061126709,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+5deg,encoder_level2,0.2462882101535797,0.9692407846450806,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+5deg,encoder_level3,0.1845729500055313,0.9828197956085205,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+5deg,encoder_level4,0.15827332437038422,0.9875656366348267,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+5deg,canvas_level4,0.15827332437038422,0.9875656366348267,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+5deg,canvas_level3,0.2574325501918793,0.9663413763046265,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+5deg,canvas_level2,0.27601510286331177,0.9612283706665039,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+5deg,canvas_level1,0.22097280621528625,0.9753177165985107,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+5deg,canvas_level0,0.2056555151939392,0.9787020683288574,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+5deg,output_logits,0.07646245509386063,0.9970793724060059,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+5deg,query_mask_embedding,0.004129405133426189,0.9999916553497314,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+10deg,input,0.13216911256313324,0.9915115833282471,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+10deg,encoder_level0,0.3499332666397095,0.9376598596572876,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+10deg,encoder_level1,0.21639743447303772,0.9763187766075134,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+10deg,encoder_level2,0.2677864134311676,0.9634784460067749,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+10deg,encoder_level3,0.205552339553833,0.9786465167999268,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+10deg,encoder_level4,0.20173268020153046,0.9797463417053223,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+10deg,canvas_level4,0.20173268020153046,0.9797463417053223,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+10deg,canvas_level3,0.3159617781639099,0.9487857818603516,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+10deg,canvas_level2,0.32765308022499084,0.9452323317527771,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+10deg,canvas_level1,0.27078312635421753,0.9628645181655884,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+10deg,canvas_level0,0.26779311895370483,0.9638895988464355,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+10deg,output_logits,0.10520920157432556,0.9944504499435425,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+10deg,query_mask_embedding,0.002861121902242303,0.9999964237213135,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+20deg,input,0.12975572049617767,0.9918357133865356,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+20deg,encoder_level0,0.40063145756721497,0.9166064262390137,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+20deg,encoder_level1,0.2785879075527191,0.9604145288467407,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+20deg,encoder_level2,0.33718904852867126,0.9414917230606079,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+20deg,encoder_level3,0.20807844400405884,0.9781122803688049,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+20deg,encoder_level4,0.283521443605423,0.9590957164764404,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+20deg,canvas_level4,0.283521443605423,0.9590957164764404,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+20deg,canvas_level3,0.37082138657569885,0.9292501211166382,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+20deg,canvas_level2,0.41039592027664185,0.9135435223579407,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+20deg,canvas_level1,0.3616240322589874,0.9335446953773499,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+20deg,canvas_level0,0.37754687666893005,0.9279116988182068,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+20deg,output_logits,0.20975689589977264,0.9778129458427429,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+20deg,query_mask_embedding,0.009672652930021286,0.9999569654464722,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+30deg,input,0.12870560586452484,0.9919860363006592,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+30deg,encoder_level0,0.45390763878822327,0.891067624092102,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+30deg,encoder_level1,0.33609306812286377,0.9419127106666565,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+30deg,encoder_level2,0.40312743186950684,0.915488600730896,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+30deg,encoder_level3,0.2444869875907898,0.9696530699729919,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+30deg,encoder_level4,0.33735111355781555,0.9413808584213257,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+30deg,canvas_level4,0.33735111355781555,0.9413808584213257,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+30deg,canvas_level3,0.42359015345573425,0.9074259400367737,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+30deg,canvas_level2,0.4770418107509613,0.88240647315979,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+30deg,canvas_level1,0.43172788619995117,0.904903769493103,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+30deg,canvas_level0,0.45364537835121155,0.8954211473464966,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+30deg,output_logits,0.27632054686546326,0.9611709713935852,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+30deg,query_mask_embedding,0.009376137517392635,0.9999589920043945,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,input,2.2487279238703195e-06,1.0000001192092896,POLYIC_20190510_mouse35__E3_P1
brain,resampling_floor,encoder_level0,1.791473368939478e-05,1.0,POLYIC_20190510_mouse35__E3_P1
brain,resampling_floor,encoder_level1,1.9591956515796483e-05,1.0000001192092896,POLYIC_20190510_mouse35__E3_P1
brain,resampling_floor,encoder_level2,2.1557734726229683e-05,0.9999998807907104,POLYIC_20190510_mouse35__E3_P1
brain,resampling_floor,encoder_level3,5.389831585489446e-07,1.0,POLYIC_20190510_mouse35__E3_P1
brain,resampling_floor,encoder_level4,4.827943939744728e-06,1.0,POLYIC_20190510_mouse35__E3_P1
brain,resampling_floor,canvas_level4,4.827943939744728e-06,1.0,POLYIC_20190510_mouse35__E3_P1
brain,resampling_floor,canvas_level3,8.084184810286388e-05,0.9999999403953552,POLYIC_20190510_mouse35__E3_P1
brain,resampling_floor,canvas_level2,0.00016716679965611547,0.9999999403953552,POLYIC_20190510_mouse35__E3_P1
brain,resampling_floor,canvas_level1,0.00018821077537722886,1.0,POLYIC_20190510_mouse35__E3_P1
brain,resampling_floor,canvas_level0,0.00022861582692712545,1.0,POLYIC_20190510_mouse35__E3_P1
