domain,subject,native_coordinate_axis,candidate_factor_pixels,expected_level1_footprint_pixels,expert_best_residue,expert_max_alignment_fraction,prediction_best_residue,prediction_max_alignment_fraction,prediction_minus_expert_alignment,expert_transition_count,prediction_transition_count
CAMRI,078,y,5,2.499999963,2,0.2095839916,0,0.2074856547,-0.002098336906,7596,7668
CAMRI,078,y,6,2.499999963,4,0.1777251185,3,0.1717527387,-0.005972379829,7596,7668
CAMRI,078,y,7,2.499999963,3,0.1560031596,3,0.1544079291,-0.001595230502,7596,7668
CAMRI,078,y,8,2.499999963,1,0.1291469194,7,0.1314553991,0.00230847963,7596,7668
CAMRI,009,x,2,3.199999881,0,0.5891472868,0,0.5052199851,-0.08392730174,2580,2682
CAMRI,009,x,3,3.199999881,0,0.3581395349,0,0.365398956,0.007259421119,2580,2682
CAMRI,009,x,4,3.199999881,2,0.3042635659,2,0.2658463833,-0.0384171826,2580,2682
CAMRI,009,x,5,3.199999881,3,0.2085271318,4,0.2061894109,-0.002337720896,2580,2682
CAMRI,009,x,6,3.199999881,0,0.211627907,3,0.1909023117,-0.02072559527,2580,2682
CAMRI,009,x,7,3.199999881,1,0.1527131783,2,0.1498881432,-0.002825035118,2580,2682
CAMRI,009,x,8,3.199999881,2,0.161627907,1,0.1498881432,-0.0117397638,2580,2682
CAMRI,009,y,2,4.999999925,0,0.59625512,1,0.5223135643,-0.07394155565,3418,3406
CAMRI,009,y,3,4.999999925,0,0.3557636044,2,0.3810921903,0.02532858581,3418,3406
CAMRI,009,y,4,4.999999925,0,0.3209479228,3,0.2745155608,-0.04643236199,3418,3406
CAMRI,009,y,5,4.999999925,1,0.2343475717,3,0.4870816207,0.252734049,3418,3406
CAMRI,009,y,6,4.999999925,0,0.2141603277,5,0.1917204932,-0.02243983443,3418,3406
CAMRI,009,y,7,4.999999925,5,0.1688121709,0,0.19377569,0.0249635191,3418,3406
CAMRI,009,y,8,4.999999925,0,0.1968987712,7,0.2213740458,0.02447527459,3418,3406
CAMRI,099,x,2,3.199999881,0,0.5771979986,0,0.5134751773,-0.06372282127,2798,2820
CAMRI,099,x,3,3.199999881,2,0.3477483917,2,0.3475177305,-0.0002306612119,2798,2820
CAMRI,099,x,4,3.199999881,0,0.2898498928,0,0.2634751773,-0.02637471548,2798,2820
