domain,split,subject,original_voxels,old_dice,old_hd95_mm,old_assd_mm,old_added_voxels,old_lost_voxels,old_net_volume_change_percent,old_mean_inward_shift_mm,old_mean_outward_shift_mm,old_unique_values,corrected_dice,corrected_hd95_mm,corrected_assd_mm,corrected_added_voxels,corrected_lost_voxels,corrected_net_volume_change_percent,corrected_mean_inward_shift_mm,corrected_mean_outward_shift_mm,corrected_unique_values
Mouse,train,POLYIC_20190517_mouse41__E3_P1,118118,0.9765460632897721,0.10000000149011612,0.026794799853360054,334,5095,-4.0307150476642,0.10730570124067562,0.10000000149011612,"0,1",0.9825963514630167,0.10000000149011612,0.018967827880048825,1928,2179,-0.21249936504173791,0.1001107960563551,0.10264254655915549,"0,1"
Mouse,train,POLYIC_20190618_mouse30__E3_P1,110668,0.9743660826495157,0.10000000149011612,0.028663173981289144,322,5226,-4.431271912386598,0.10847187523614597,0.10000000149011612,"0,1",0.9806203653463555,0.10000000149011612,0.0204353554102319,2055,2231,-0.15903422850327104,0.10008964739015208,0.10292267630466975,"0,1"
Mouse,train,POLYIC_20190618_mouse32__E3_P1,113891,0.9755769420501735,0.10000000149011612,0.027641443766280242,325,5121,-4.211043892844913,0.10785582009099419,0.10000000149011612,"0,1",0.981488069357155,0.10000000149011612,0.019739375022417596,2062,2153,-0.07990095793346269,0.10000000149011612,0.10281231475861032,"0,1"
Mouse,train,POLYIC_20190619_mouse41__E3_P1,118492,0.9757051873174011,0.10000000149011612,0.028258630742777364,360,5278,-4.150491172399825,0.10888371232719075,0.10000000149011612,"0,1",0.9818978730950964,0.10000000149011612,0.019915835148608774,2063,2224,-0.13587415184147453,0.10000000149011612,0.10291134261658616,"0,1"
Mouse,train,POLYIC_20190628_mouse30__E4_P1,108951,0.975033921302578,0.10000000149011612,0.027551016258732852,582,4754,-3.8292443391983553,0.10913389722454774,0.10000000149011612,"0,1",0.9810870582621384,0.10000000149011612,0.019806764497155578,2083,2039,0.04038512725904306,0.10000000149011612,0.10292316013515537,"0,1"
Mouse,train,POLYIC_20190628_mouse32__E3_P1,114393,0.9758296583366742,0.10000000149011612,0.026667376716840586,565,4861,-3.755474548267814,0.10883351261988743,0.10000000149011612,"0,1",0.982330394954788,0.10000000149011612,0.018316328305721597,2034,2009,0.021854484103048265,0.10000000149011612,0.10258629073324595,"0,1"
Mouse,validation,POLYIC_20190510_mouse31__E2_P1,110439,0.9762200556974419,0.10000000149011612,0.026287534377236722,399,4750,-3.9397314354530555,0.10670521158335908,0.10000000149011612,"0,1",0.9813704021073344,0.10000000149011612,0.019438514975379767,1897,2212,-0.2852253280091272,0.10004520944739013,0.10320977453050452,"0,1"
Mouse,validation,POLYIC_20190510_mouse40__E2_P1,113350,0.9752646355037425,0.10000000149011612,0.027952124146300997,349,5140,-4.2267313630348475,0.10850690500201385,0.10000000149011612,"0,1",0.9813261522161398,0.10000000149011612,0.020242260577459453,2025,2205,-0.1588001764446405,0.10000000149011612,0.10280233526249706,"0,1"
Mouse,validation,POLYIC_20190510_mouse44__E4_P1,115247,0.97582585043657,0.10000000149011612,0.026279338287180345,350,5107,-4.127656251355783,0.10791848544636547,0.10000000149011612,"0,1",0.9821383625964467,0.10000000149011612,0.018300675519529002,2030,2086,-0.04859128654108133,0.10006779696391509,0.10291786061829278,"0,1"
Mouse,validation,POLYIC_20190517_mouse31__E3_P1,111338,0.976754631199758,0.10000000149011612,0.0257124131467467,295,4777,-4.025579766117588,0.1100534836159753,0.10000000149011612,"0,1",0.9827180913941039,0.10000000149011612,0.017944529062778783,1828,2017,-0.16975336363146454,0.10000000149011612,0.10305901854447189,"0,1"
Mouse,validation,POLYIC_20190517_mouse40__E3_P1,114552,0.9770255543446834,0.10000000149011612,0.025869197111324967,438,4727,-3.7441511278720583,0.10818151452445195,0.10000000149011612,"0,1",0.9828415029047849,0.10000000149011612,0.018088767121478284,2141,1796,0.3011732662895454,0.10000000149011612,0.10311482561602939,"0,1"
Mouse,validation,POLYIC_20190517_mouse44__E3_P1,119760,0.97630388289125,0.10000000149011612,0.026807196829666317,382,5180,-4.006346025384102,0.1078921093911548,0.10000000149011612,"0,1",0.9819265775050064,0.10000000149011612,0.0193102282477088,1997,2326,-0.27471609886439546,0.10000000149011612,0.10325646269500452,"0,1"
Mouse,validation,POLYIC_20190618_mouse31__E3_P1,114447,0.9752775695262575,0.10000000149011612,0.027904569921182277,367,5173,-4.1993237044221345,0.1086194149375948,0.10000000149011612,"0,1",0.9815304583506371,0.10000000149011612,0.01969406640166921,2043,2182,-0.1214535986089631,0.10004583100500618,0.10239242445087736,"0,1"
Mouse,validation,POLYIC_20190619_mouse40__E3_P1,115199,0.9749461230788332,0.10000000149011612,0.02785779160476955,383,5267,-4.239620135591455,0.10874116299533958,0.10000000149011612,"0,1",0.9810428801290697,0.10000000149011612,0.019896740148047872,2273,2098,0.1519110408944522,0.10000000149011612,0.10262414376334672,"0,1"
Mouse,validation,POLYIC_20190619_mouse44__E4_P1,118932,0.9752716003279378,0.10000000149011612,0.027939084987577346,434,5327,-4.114115629098981,0.10915854636629789,0.10000000149011612,"0,1",0.9818114546631798,0.10000000149011612,0.019541098837323943,2152,2174,-0.01849796522382538,0.10000000149011612,0.1026946994267495,"0,1"
Mouse,validation,POLYIC_20190628_mouse31__E3_P1,116678,0.9759687449470561,0.10000000149011612,0.02709644867414704,485,5014,-3.8816229280584174,0.10869047061383394,0.10000000149011612,"0,1",0.9819702944438022,0.10000000149011612,0.019097619795879584,2207,2004,0.17398309878468948,0.10000000149011612,0.10320935899900857,"0,1"
Mouse,test,POLYIC_20190510_mouse34__E2_P1,104928,0.9753966361942387,0.10000000149011612,0.02627932893586509,371,4686,-4.1123437023482765,0.10699617360532679,0.10000000149011612,"0,1",0.9812787304251626,0.10000000149011612,0.019140578780596534,1889,2037,-0.14104910033546814,0.1000203359804718,0.10300409142609886,"0,1"
Mouse,test,POLYIC_20190510_mouse35__E3_P1,107899,0.9755017458199676,0.10000000149011612,0.026829332565413738,371,4807,-4.111252189547632,0.10702600773939629,0.10000000149011612,"0,1",0.981292146042855,0.10000000149011612,0.019466251832483083,1852,2179,-0.3030611961185924,0.10000000149011612,0.10317593705887643,"0,1"
Mouse,test,POLYIC_20190510_mouse37__E2_P1,121082,0.9771413413725301,0.10000000149011612,0.026236500636972197,384,5045,-3.8494573925108604,0.10737528923372675,0.10000000149011612,"0,1",0.9825169187774658,0.10000000149011612,0.019061921184762895,1978,2251,-0.22546703886622288,0.10000000149011612,0.10322492007231963,"0,1"
Mouse,test,POLYIC_20190510_mouse38__E2_P1,115244,0.9768744442035686,0.10000000149011612,0.026143411414313176,383,4844,-3.8709173579535596,0.1072413218420685,0.10000000149011612,"0,1",0.9824258338939648,0.10000000149011612,0.01887568841439935,1978,2071,-0.08069834438235396,0.10000000149011612,0.10249198403090974,"0,1"
Mouse,test,POLYIC_20190510_mouse39__E4_P1,117869,0.976284567871844,0.10000000149011612,0.02688324400619836,386,5093,-3.993416419923814,0.1079192221423413,0.10000000149011612,"0,1",0.9820350644998451,0.10000000149011612,0.019358665796652415,2117,2118,-0.0008483994943539014,0.10000000149011612,0.102680552217122,"0,1"
Mouse,test,POLYIC_20190510_mouse42__E2_P1,115179,0.9760925449871465,0.10000000149011612,0.026610877977795454,328,5066,-4.113597096692973,0.10813651877466195,0.10000000149011612,"0,1",0.9819923588140949,0.10000000149011612,0.019006360636988476,1927,2216,-0.2509137950494448,0.10001869343815517,0.10335326130812733,"0,1"
Mouse,test,POLYIC_20190510_mouse43__E2_P1_1,79141,0.9772094820922442,0.10000000149011612,0.020749129059505905,248,3290,-3.8437725072971025,0.1077772070067681,0.10000000149011612,"0,1",0.9824364038552694,0.10000000149011612,0.015072492118264287,1361,1418,-0.07202335072844669,0.10000000149011612,0.10301301716138654,"0,1"
Mouse,test,POLYIC_20190510_mouse43__E9_P1,117277,0.9765477526379429,0.10000000149011612,0.02659513642702087,376,5016,-3.9564449977403924,0.10848422295814619,0.10000000149011612,"0,1",0.9828754570948797,0.10000000149011612,0.018297477381594485,2049,1969,0.06821456892655849,0.10010157589488007,0.10307274245736328,"0,1"
Mouse,test,POLYIC_20190517_mouse33__E2_P1,109688,0.9754714081470132,0.10000000149011612,0.027347242294961764,310,4957,-4.236561884618189,0.10987833626629019,0.10000000149011612,"0,1",0.981566295258277,0.10000000149011612,0.019194842969555308,2052,1993,0.05378892859747648,0.10000000149011612,0.10312880768526868,"0,1"
Mouse,test,POLYIC_20190517_mouse35__E2_P1,112277,0.9775164146054822,0.10000000149011612,0.024610696675703148,392,4563,-3.7149193512473615,0.10623863948705259,0.10000000149011612,"0,1",0.9822454075263064,0.10000000149011612,0.01841489090913486,1854,2128,-0.24403929567052915,0.10000000149011612,0.10321719425551695,"0,1"
Mouse,test,POLYIC_20190517_mouse36__E2_P1,116017,0.9761624226223973,0.10000000149011612,0.026148823725838204,422,5000,-3.94597343492764,0.10804995110373088,0.10000000149011612,"0,1",0.9819396839768049,0.10000000149011612,0.01866651757314112,2050,2139,-0.07671289552393183,0.10000000149011612,0.10272774938053678,"0,1"
Mouse,test,POLYIC_20190517_mouse37__E3_P1,301479,0.9792000430355531,0.09943689110435824,0.022067900650161718,2136,10237,-2.6870859993565057,0.08317835634621204,0.07162146139794869,"0,1",0.9819457976259122,0.0703125,0.01842171755866342,5727,5169,0.1850875185336292,0.0764881384213581,0.08035854374417253,"0,1"
Mouse,test,POLYIC_20190517_mouse38__E3_P1,115836,0.9760210757254693,0.10000000149011612,0.027098531741564968,381,5062,-4.041058047584516,0.10957208984380232,0.10000000149011612,"0,1",0.9820090925968301,0.10000000149011612,0.019222687091826948,2056,2111,-0.04748092130253116,0.10001962316555645,0.10312272051368278,"0,1"
Mouse,test,POLYIC_20190517_mouse39__E12_P1,295269,0.9794353001847952,0.09943689110435824,0.022418374098651914,1575,10388,-2.984735952639796,0.08374048798071741,0.07164390073619924,"0,1",0.9825819654759058,0.0703125,0.018013624512719532,4763,5510,-0.252989646728915,0.07882401315789474,0.0780509674558979,"0,1"
Mouse,test,POLYIC_20190517_mouse42__E4_P1,117902,0.9764306557334465,0.10000000149011612,0.02645728988658998,309,5135,-4.093229970653594,0.10749918877071736,0.10000000149011612,"0,1",0.9821945607227462,0.10000000149011612,0.019056203600391654,1968,2226,-0.21882580448168817,0.10000000149011612,0.1028835004174898,"0,1"
Mouse,test,POLYIC_20190517_mouse43__E3_P1,119457,0.9765242574130552,0.10000000149011612,0.026299452628433122,348,5148,-4.01818227479344,0.10764588686153248,0.10000000149011612,"0,1",0.9823131988801154,0.10000000149011612,0.018709107199432664,1951,2269,-0.2662045757050654,0.10017629060689023,0.10301477989777583,"0,1"
Mouse,test,POLYIC_20190524_polyic___E3_P1,111274,0.9746583143507973,0.10000000149011612,0.028296170014908747,357,5161,-4.317270880888617,0.11018208795618047,0.10000000149011612,"0,1",0.981436294269113,0.10000000149011612,0.019558351420101407,2057,2074,-0.015277603033952225,0.10004821749854916,0.10316147598022897,"0,1"
Mouse,test,POLYIC_20190524_polyic___E3_P1_1,117708,0.9756415096796032,0.10000000149011612,0.027713297623109655,315,5298,-4.233357121011316,0.10782958226329865,0.10000000149011612,"0,1",0.98147683434633,0.10000000149011612,0.020016122441815123,2025,2330,-0.25911577802698205,0.10001777889649145,0.10276142528041851,"0,1"
Mouse,test,POLYIC_20190524_polyic___E3_P1_10,112365,0.9754162064875036,0.10000000149011612,0.027571645078883635,351,5058,-4.189026832198638,0.10796723680174537,0.10000000149011612,"0,1",0.9815050396320579,0.10000000149011612,0.019722744538336587,2123,2035,0.07831620166421928,0.1000694960151012,0.10286808413619092,"0,1"
Mouse,test,POLYIC_20190524_polyic___E3_P1_12,118667,0.9766366387016917,0.10000000149011612,0.025963283441242963,387,5049,-3.928640649885815,0.10871085888238667,0.10000000149011612,"0,1",0.9826336441500358,0.10000000149011612,0.018137145673586343,1896,2220,-0.2730329409187053,0.10009009158154866,0.10303669379116068,"0,1"
Mouse,test,POLYIC_20190524_polyic___E3_P1_13,109554,0.9748110008907793,0.10000000149011612,0.02803127338837568,356,5045,-4.28008105591763,0.10867331266980298,0.10000000149011612,"0,1",0.9811689765628927,0.10000000149011612,0.01970359596484346,1927,2194,-0.24371542800810558,0.10000000149011612,0.10296634671374141,"0,1"
Mouse,test,POLYIC_20190524_polyic___E3_P1_3,111369,0.9754223143375947,0.10000000149011612,0.02688336161254522,353,5007,-4.17890077130979,0.1092735367153368,0.10000000149011612,"0,1",0.9817047163669832,0.10000000149011612,0.01849060441161783,2036,2039,-0.0026937478113299032,0.10000000149011612,0.10294995077494308,"0,1"
Mouse,test,POLYIC_20190524_polyic___E3_P1_4,113510,0.9747169505417796,0.10000000149011612,0.028227142870980756,320,5294,-4.381992775966875,0.10784656317900103,0.10000000149011612,"0,1",0.9807828804958801,0.10000000149011612,0.02046445807042502,2084,2275,-0.16826711302968902,0.10012432795899052,0.10266337088479356,"0,1"
Mouse,test,POLYIC_20190524_polyic___E3_P1_5,110364,0.9762177756407886,0.10000000149011612,0.0268179004064037,356,4788,-4.015802254358305,0.10878529005684144,0.10000000149011612,"0,1",0.9822903726004044,0.10000000149011612,0.018811614174690804,1868,2038,-0.15403573629081946,0.10000000149011612,0.10294916661948084,"0,1"
