domain,subject,native_coordinate_axis,candidate_factor_pixels,expected_level1_footprint_pixels,expert_best_residue,expert_max_alignment_fraction,prediction_best_residue,prediction_max_alignment_fraction,prediction_minus_expert_alignment,expert_transition_count,prediction_transition_count,condition
CAMRI,078,x,2,1.5999999403953562,0,0.5036836935166994,1,0.5011264885741873,-0.0025572049425121035,12216,12428,corrected_baseline
CAMRI,078,x,3,1.5999999403953562,1,0.34372953503601833,1,0.3455101383971677,0.00178060336114938,12216,12428,corrected_baseline
CAMRI,078,x,4,1.5999999403953562,0,0.2687459070072037,3,0.26770196330865786,-0.001043943698545824,12216,12428,corrected_baseline
CAMRI,078,x,5,1.5999999403953562,2,0.24353307138179436,2,0.2397006758931445,-0.003832395488649859,12216,12428,corrected_baseline
CAMRI,078,x,6,1.5999999403953562,2,0.17927308447937132,1,0.1797553910524622,0.0004823065730908682,12216,12428,corrected_baseline
CAMRI,078,x,7,1.5999999403953562,0,0.16601178781925344,0,0.17476665593820406,0.008754868118950626,12216,12428,corrected_baseline
CAMRI,078,x,8,1.5999999403953562,3,0.13695153896529141,3,0.1467653685226907,0.00981382955739929,12216,12428,corrected_baseline
CAMRI,078,y,2,2.4999999627470975,0,0.5025013164823592,0,0.5007735946364105,-0.0017277218459487154,7596,7756,corrected_baseline
CAMRI,078,y,3,2.4999999627470975,1,0.3362295945234334,2,0.34128416709644144,0.005054572573008065,7596,7756,corrected_baseline
CAMRI,078,y,4,2.4999999627470975,2,0.2539494470774092,2,0.25244971634863334,-0.00149973072877585,7596,7756,corrected_baseline
CAMRI,078,y,5,2.4999999627470975,2,0.2095839915745129,3,0.22163486333161422,0.012050871757101317,7596,7756,corrected_baseline
CAMRI,078,y,6,2.4999999627470975,4,0.17772511848341233,2,0.17251160391954615,-0.005213514563866178,7596,7756,corrected_baseline
CAMRI,078,y,7,2.4999999627470975,3,0.15600315955766192,2,0.15471892728210418,-0.0012842322755577396,7596,7756,corrected_baseline
CAMRI,078,y,8,2.4999999627470975,1,0.12914691943127962,7,0.13357400722021662,0.004427087788936995,7596,7756,corrected_baseline
CAMRI,078,x,2,1.5999999403953562,0,0.5036836935166994,0,0.5002415070037031,-0.003442186512996326,12216,12422,level0
CAMRI,078,x,3,1.5999999403953562,1,0.34372953503601833,1,0.3458380293028498,0.002108494266831462,12216,12422,level0
CAMRI,078,x,4,1.5999999403953562,0,0.2687459070072037,3,0.26839478344872003,-0.00035112355848365695,12216,12422,level0
CAMRI,078,x,5,1.5999999403953562,2,0.24353307138179436,2,0.24070198035743037,-0.002831091024363991,12216,12422,level0
CAMRI,078,x,6,1.5999999403953562,2,0.17927308447937132,1,0.17766865239091933,-0.0016044320884519847,12216,12422,level0
CAMRI,078,x,7,1.5999999403953562,0,0.16601178781925344,0,0.17380454033166962,0.007792752512416179,12216,12422,level0
CAMRI,078,x,8,1.5999999403953562,3,0.13695153896529141,3,0.14506520689099983,0.008113667925708418,12216,12422,level0
CAMRI,078,y,2,2.4999999627470975,0,0.5025013164823592,1,0.5026943802925328,0.0001930638101735882,7596,7794,level0
CAMRI,078,y,3,2.4999999627470975,1,0.3362295945234334,2,0.3434693353861945,0.007239740862761135,7596,7794,level0
CAMRI,078,y,4,2.4999999627470975,2,0.2539494470774092,1,0.25493969720297666,0.0009902501255674712,7596,7794,level0
CAMRI,078,y,5,2.4999999627470975,2,0.2095839915745129,2,0.21939953810623555,0.009815546531722646,7596,7794,level0
CAMRI,078,y,6,2.4999999627470975,4,0.17772511848341233,5,0.17680266871952785,-0.0009224497638844753,7596,7794,level0
CAMRI,078,y,7,2.4999999627470975,3,0.15600315955766192,2,0.15383628432127278,-0.002166875236389143,7596,7794,level0
CAMRI,078,y,8,2.4999999627470975,1,0.12914691943127962,1,0.1361303566846292,0.0069834372533495725,7596,7794,level0
CAMRI,009,x,2,3.1999998807907124,0,0.5891472868217055,1,0.5073855243722304,-0.08176176244947508,2580,2708,corrected_baseline
CAMRI,009,x,3,3.1999998807907124,0,0.3581395348837209,0,0.3489660265878877,-0.009173508295833188,2580,2708,corrected_baseline
CAMRI,009,x,4,3.1999998807907124,2,0.30426356589147285,1,0.27511078286558344,-0.029152783025889417,2580,2708,corrected_baseline
CAMRI,009,x,5,3.1999998807907124,3,0.20852713178294574,1,0.21750369276218612,0.008976560979240378,2580,2708,corrected_baseline
CAMRI,009,x,6,3.1999998807907124,0,0.2116279069767442,3,0.1790989660265879,-0.03252894095015629,2580,2708,corrected_baseline
CAMRI,009,x,7,3.1999998807907124,1,0.15271317829457365,6,0.16285081240768096,0.010137634113107308,2580,2708,corrected_baseline
CAMRI,009,x,8,3.1999998807907124,2,0.16162790697674417,0,0.14364844903988183,-0.017979457936862342,2580,2708,corrected_baseline
CAMRI,009,y,2,4.999999925494195,0,0.596255119953189,1,0.5408878504672897,-0.05536726948589932,3418,3424,corrected_baseline
CAMRI,009,y,3,4.999999925494195,0,0.3557636044470451,2,0.3773364485981308,0.021572844151085735,3418,3424,corrected_baseline
CAMRI,009,y,4,4.999999925494195,0,0.320947922761849,3,0.29994158878504673,-0.021006333976802294,3418,3424,corrected_baseline
CAMRI,009,y,5,4.999999925494195,1,0.23434757167934464,3,0.5405957943925234,0.30624822271317875,3418,3424,corrected_baseline
CAMRI,009,y,6,4.999999925494195,0,0.2141603276770041,1,0.22108644859813084,0.006926120921126738,3418,3424,corrected_baseline
CAMRI,009,y,7,4.999999925494195,5,0.16881217086015213,4,0.20327102803738317,0.034458857177231045,3418,3424,corrected_baseline
CAMRI,009,y,8,4.999999925494195,0,0.19689877121123464,7,0.24591121495327103,0.04901244374203639,3418,3424,corrected_baseline
CAMRI,009,x,2,3.1999998807907124,0,0.5891472868217055,1,0.5129217516152189,-0.07622553520648656,2580,2786,level0
CAMRI,009,x,3,3.1999998807907124,0,0.3581395348837209,0,0.3488872936109117,-0.009252241272809214,2580,2786,level0
CAMRI,009,x,4,3.1999998807907124,2,0.30426356589147285,1,0.2699210337401292,-0.03434253215134364,2580,2786,level0
CAMRI,009,x,5,3.1999998807907124,3,0.20852713178294574,4,0.21643933955491745,0.007912207771971713,2580,2786,level0
CAMRI,009,x,6,3.1999998807907124,0,0.2116279069767442,1,0.17910983488872936,-0.03251807208801483,2580,2786,level0
CAMRI,009,x,7,3.1999998807907124,1,0.15271317829457365,6,0.15829145728643215,0.005578278991858504,2580,2786,level0
CAMRI,009,x,8,3.1999998807907124,2,0.16162790697674417,1,0.14788226848528357,-0.013745638491460599,2580,2786,level0
CAMRI,009,y,2,4.999999925494195,0,0.596255119953189,1,0.5277617119722383,-0.06849340798095072,3418,3458,level0
CAMRI,009,y,3,4.999999925494195,0,0.3557636044470451,2,0.38548293811451706,0.02971933366747198,3418,3458,level0
CAMRI,009,y,4,4.999999925494195,0,0.320947922761849,3,0.2874493927125506,-0.033498530049298425,3418,3458,level0
CAMRI,009,y,5,4.999999925494195,1,0.23434757167934464,3,0.45777906304222094,0.2234314913628763,3418,3458,level0
CAMRI,009,y,6,4.999999925494195,0,0.2141603276770041,1,0.197513013302487,-0.016647314374517108,3418,3458,level0
CAMRI,009,y,7,4.999999925494195,5,0.16881217086015213,0,0.20011567379988432,0.03130350293973219,3418,3458,level0
CAMRI,009,y,8,4.999999925494195,0,0.19689877121123464,7,0.2258530942741469,0.028954323062912263,3418,3458,level0
CAMRI,099,x,2,3.1999998807907124,0,0.5771979985704074,1,0.5181564245810056,-0.0590415739894018,2798,2864,corrected_baseline
CAMRI,099,x,3,3.1999998807907124,2,0.34774839170836314,1,0.35824022346368717,0.010491831755324033,2798,2864,corrected_baseline
CAMRI,099,x,4,3.1999998807907124,0,0.28984989278055756,3,0.26675977653631283,-0.02309011624424473,2798,2864,corrected_baseline
CAMRI,099,x,5,3.1999998807907124,0,0.21622587562544673,2,0.21717877094972068,0.0009528953242739502,2798,2864,corrected_baseline
CAMRI,099,x,6,3.1999998807907124,2,0.20836311651179415,1,0.18470670391061453,-0.02365641260117962,2798,2864,corrected_baseline
CAMRI,099,x,7,3.1999998807907124,4,0.1529664045746962,5,0.1564245810055866,0.003458176430890386,2798,2864,corrected_baseline
