relative_path,extension,size_bytes,detected_format,annotation_candidate,name_keyword_matches,hidden_file
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/5876a5e5-6744-4644-b583-d85eaa23ca19.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/5bea2418-432f-42a4-9834-3015a8731988.dcm,.dcm,134128,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/6412a4e7-001e-4802-ab2a-fd086c0a4a2f.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/67f73a63-0d1e-4f02-8cc0-623dbbe6fe43.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/697024cc-56e1-408f-84f8-7af5bc89b67f.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/6bc1f05f-debd-4a01-827e-044a9ed02969.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/6d5590a6-bd5f-4153-9d84-f090a6646354.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/72857dcb-edb8-487e-9480-bb261054f222.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/72bb790b-5281-4b06-9641-6fd1e5ffcfb9.dcm,.dcm,134128,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/79438da7-98ac-45c2-9a76-56fab4ce8e8d.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/7a84e7d5-3259-4f95-a08d-6e8aae5036cb.dcm,.dcm,134128,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/84a7d243-ad47-4067-8996-f64d15bed676.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/8aa0f05d-e847-43ca-b77e-851c8069acce.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/94faed45-4d63-49df-b5da-e0b7e19d38df.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/a590e88d-4905-4860-862c-6807dbee7ed3.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/b1734cc4-0b42-4389-ac05-7251e2342123.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/b2ba1eb2-8477-48ca-83a4-6bde3e77d625.dcm,.dcm,134128,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/b4919d45-d448-4ec6-8374-2c52abe685e1.dcm,.dcm,134130,DICOM,0,,0
