domain,subject,component_rank,component_label,is_largest_component,voxel_volume,physical_volume_mm3,centroid_i,centroid_j,centroid_k,centroid_world_x,centroid_world_y,centroid_world_z,centroid_distance_to_largest_mm,minimum_distance_to_largest_mm,bbox_i0,bbox_j0,bbox_k0,bbox_i1_exclusive,bbox_j1_exclusive,bbox_k1_exclusive,occupied_slices,average_image_intensity,brain_intensity_zscore,locally_brain_like,expert_overlap_voxels,expert_overlap_fraction
CAMRI,078,5,4,0,4,0.032000001430511495,111.5,113.0,30.0,7.900000713765621,-5.773530915379524,5.888230234384537,8.61297600045265,0.7483314885057962,111,113,29,113,114,32,3,4913.5,0.7290451923603555,1,0,0.0
CAMRI,009,1,1,1,128515,1285.150038300455,124.2664202622262,144.50005835894643,4.997190989378672,12.426642211394016,4.997190989378672,-14.45000605121651,0.0,0.0,48,95,0,204,198,12,12,10602.6826171875,0.020165069429284876,1,127588,0.9927868342216862
CAMRI,099,1,2,1,153028,1530.2800456058983,124.64690122069163,125.13931437384008,4.988551114828659,-0.3353098829273442,0.6032409417939908,3.2986284576258154,0.0,0.0,39,73,0,215,183,12,12,20.538654327392578,0.01577852475082645,1,151909,0.9926876127244687
CAMRI,099,2,1,0,9,0.09000000268220903,32.0,144.0,2.0,-9.600000143051147,-2.385310173034668,1.4125598669052124,9.915804461105477,0.8544003872633108,31,143,2,34,146,3,1,8.082104682922363,-1.2992971168419913,0,0,0.0
Mouse,POLYIC_20190510_mouse34__E2_P1,1,1,1,101528,406.11192738151306,84.39710227720431,121.47564218737688,15.070896698447719,0.09931191080818813,0.4493924233990061,0.1197232380826243,0.0,0.0,35,87,0,134,155,35,35,21.35515785217285,0.05260170681077728,1,99378,0.9788235757623512
Mouse,POLYIC_20190510_mouse35__E3_P1,1,1,1,103888,415.5520804986975,89.94363160326506,121.43018442938549,15.327073386724164,-0.5245657943109263,0.3530301866186285,-0.5933005113078291,0.0,0.0,40,90,0,138,155,35,35,22.17606544494629,0.049135440458407315,1,101948,0.9813260434313876
Mouse,POLYIC_20190510_mouse37__E2_P1,1,1,1,116136,464.5437438769261,88.65202865605842,111.9516170696425,14.896535096783081,-1.0678713135537734,-1.729192939745559,-2.2208075773120344,0.0,0.0,37,80,0,139,147,35,35,28.89972496032715,0.05554939507899621,1,114637,0.9870927188813116
Mouse,POLYIC_20190510_mouse38__E2_P1,1,1,1,111459,445.83598671305106,84.52765590934783,118.54715186750285,15.11507370423205,-0.5270485734277504,-4.874943174882496,-1.8644476141473607,0.0,0.0,33,85,0,134,152,35,35,29.563465118408203,0.05060771245834765,1,109823,0.9853219569527808
Mouse,POLYIC_20190510_mouse39__E4_P1,1,1,1,113051,452.2038854477965,92.44924856922982,116.27997983211117,15.453874799869086,-0.38646910439566007,-4.820647231041081,-1.8199006057279759,0.0,0.0,41,85,0,142,150,35,35,30.644258499145508,0.07663371510468502,1,111421,0.9855817286003662
Mouse,POLYIC_20190510_mouse39__E4_P1,2,2,0,21,0.08399997872114114,122.14285714285714,89.42857142857143,10.0,-3.3465260328361346,-2.0213591292528665,-3.866432348304939,4.559193247691594,0.3162277707289988,120,87,10,125,95,11,1,41.20222473144531,1.9021759177917905,0,0,0.0
