transform,stage,relative_l2,cosine,subject
resampling_floor,output_logits,0.00012934287951793522,1.0,POLYIC_20190510_mouse35__E3_P1
axis0_+1mm,input,2.0721772671095096e-06,1.0,POLYIC_20190510_mouse35__E3_P1
axis0_+1mm,encoder_level0,1.932501618284732e-05,0.9999998807907104,POLYIC_20190510_mouse35__E3_P1
axis0_+1mm,encoder_level1,0.20836548507213593,0.9780638217926025,POLYIC_20190510_mouse35__E3_P1
axis0_+1mm,encoder_level2,0.23690541088581085,0.9715569019317627,POLYIC_20190510_mouse35__E3_P1
axis0_+1mm,encoder_level3,0.22516362369060516,0.9743308424949646,POLYIC_20190510_mouse35__E3_P1
axis0_+1mm,encoder_level4,0.1908651739358902,0.9818533062934875,POLYIC_20190510_mouse35__E3_P1
axis0_+1mm,output_logits,0.09326957166194916,0.9956454038619995,POLYIC_20190510_mouse35__E3_P1
axis0_+2mm,input,2.0661143480538158e-06,1.0,POLYIC_20190510_mouse35__E3_P1
axis0_+2mm,encoder_level0,1.9377308490220457e-05,1.0,POLYIC_20190510_mouse35__E3_P1
axis0_+2mm,encoder_level1,0.07432630658149719,0.9972509741783142,POLYIC_20190510_mouse35__E3_P1
axis0_+2mm,encoder_level2,0.24976599216461182,0.9683133363723755,POLYIC_20190510_mouse35__E3_P1
axis0_+2mm,encoder_level3,0.21262404322624207,0.9771411418914795,POLYIC_20190510_mouse35__E3_P1
axis0_+2mm,encoder_level4,0.2148541957139969,0.9769876003265381,POLYIC_20190510_mouse35__E3_P1
axis0_+2mm,output_logits,0.1171911433339119,0.9931378364562988,POLYIC_20190510_mouse35__E3_P1
axis0_+4mm,input,2.1224748252279824e-06,1.0,POLYIC_20190510_mouse35__E3_P1
axis0_+4mm,encoder_level0,0.08813667297363281,0.99610835313797,POLYIC_20190510_mouse35__E3_P1
axis0_+4mm,encoder_level1,0.21109364926815033,0.9774817228317261,POLYIC_20190510_mouse35__E3_P1
axis0_+4mm,encoder_level2,0.2845570147037506,0.9589625597000122,POLYIC_20190510_mouse35__E3_P1
axis0_+4mm,encoder_level3,0.2619250416755676,0.9651498794555664,POLYIC_20190510_mouse35__E3_P1
axis0_+4mm,encoder_level4,0.2112390249967575,0.977546215057373,POLYIC_20190510_mouse35__E3_P1
axis0_+4mm,output_logits,0.19642974436283112,0.980552613735199,POLYIC_20190510_mouse35__E3_P1
axis0_+6mm,input,0.14069488644599915,0.9900529980659485,POLYIC_20190510_mouse35__E3_P1
axis0_+6mm,encoder_level0,0.2218123823404312,0.9751888513565063,POLYIC_20190510_mouse35__E3_P1
axis0_+6mm,encoder_level1,0.3363887369632721,0.9419829845428467,POLYIC_20190510_mouse35__E3_P1
axis0_+6mm,encoder_level2,0.39312461018562317,0.9194865226745605,POLYIC_20190510_mouse35__E3_P1
axis0_+6mm,encoder_level3,0.3593165874481201,0.9333217144012451,POLYIC_20190510_mouse35__E3_P1
axis0_+6mm,encoder_level4,0.19412477314472198,0.9809793829917908,POLYIC_20190510_mouse35__E3_P1
axis0_+6mm,output_logits,0.27947330474853516,0.9602214097976685,POLYIC_20190510_mouse35__E3_P1
axis1_+1mm,input,2.2450549295172095e-06,1.0,POLYIC_20190510_mouse35__E3_P1
axis1_+1mm,encoder_level0,1.7902948457049206e-05,1.0,POLYIC_20190510_mouse35__E3_P1
axis1_+1mm,encoder_level1,0.22004307806491852,0.9754905700683594,POLYIC_20190510_mouse35__E3_P1
axis1_+1mm,encoder_level2,0.21879638731479645,0.975770890712738,POLYIC_20190510_mouse35__E3_P1
axis1_+1mm,encoder_level3,0.2679905593395233,0.9634889364242554,POLYIC_20190510_mouse35__E3_P1
axis1_+1mm,encoder_level4,0.23417986929416656,0.9726502895355225,POLYIC_20190510_mouse35__E3_P1
axis1_+1mm,output_logits,0.14778463542461395,0.9890555739402771,POLYIC_20190510_mouse35__E3_P1
axis1_+2mm,input,2.2450549295172095e-06,1.0,POLYIC_20190510_mouse35__E3_P1
axis1_+2mm,encoder_level0,0.044068340212106705,0.9990284442901611,POLYIC_20190510_mouse35__E3_P1
axis1_+2mm,encoder_level1,0.12539389729499817,0.9921230673789978,POLYIC_20190510_mouse35__E3_P1
axis1_+2mm,encoder_level2,0.23502381145954132,0.9720020294189453,POLYIC_20190510_mouse35__E3_P1
axis1_+2mm,encoder_level3,0.21781344711780548,0.9759999513626099,POLYIC_20190510_mouse35__E3_P1
axis1_+2mm,encoder_level4,0.20914395153522491,0.9786215424537659,POLYIC_20190510_mouse35__E3_P1
axis1_+2mm,output_logits,0.15744249522686005,0.9875757694244385,POLYIC_20190510_mouse35__E3_P1
axis1_+4mm,input,2.2450549295172095e-06,1.0,POLYIC_20190510_mouse35__E3_P1
axis1_+4mm,encoder_level0,0.10794493556022644,0.9941568374633789,POLYIC_20190510_mouse35__E3_P1
axis1_+4mm,encoder_level1,0.25446081161499023,0.9671003222465515,POLYIC_20190510_mouse35__E3_P1
axis1_+4mm,encoder_level2,0.2968074381351471,0.9551175236701965,POLYIC_20190510_mouse35__E3_P1
axis1_+4mm,encoder_level3,0.2856508493423462,0.9585917592048645,POLYIC_20190510_mouse35__E3_P1
axis1_+4mm,encoder_level4,0.19585691392421722,0.9807412624359131,POLYIC_20190510_mouse35__E3_P1
axis1_+4mm,output_logits,0.232792928814888,0.9725923538208008,POLYIC_20190510_mouse35__E3_P1
axis1_+6mm,input,0.11129742860794067,0.9937871694564819,POLYIC_20190510_mouse35__E3_P1
axis1_+6mm,encoder_level0,0.24699607491493225,0.9691689014434814,POLYIC_20190510_mouse35__E3_P1
axis1_+6mm,encoder_level1,0.3697487413883209,0.9293026924133301,POLYIC_20190510_mouse35__E3_P1
axis1_+6mm,encoder_level2,0.42467737197875977,0.9053469896316528,POLYIC_20190510_mouse35__E3_P1
axis1_+6mm,encoder_level3,0.4085632562637329,0.912827730178833,POLYIC_20190510_mouse35__E3_P1
axis1_+6mm,encoder_level4,0.2193034589290619,0.9757124185562134,POLYIC_20190510_mouse35__E3_P1
axis1_+6mm,output_logits,0.33297908306121826,0.9433268308639526,POLYIC_20190510_mouse35__E3_P1
axis2_+1mm,input,2.2450549295172095e-06,1.0,POLYIC_20190510_mouse35__E3_P1
