transform,self_consistency_dice,transformed_vs_expert_dice,baseline_vs_expert_dice,accuracy_delta,subject
resampling_floor,0.9999783429466587,0.9066010131202215,0.9066081443550353,-7.131234813884113e-06,POLYIC_20190510_mouse38__E2_P1
axis0_+1mm,0.9858692414434442,0.9129201913633052,0.9066081443550353,0.006312047008269817,POLYIC_20190510_mouse38__E2_P1
axis0_+2mm,0.9870763866187208,0.9123899131977444,0.9066081443550353,0.00578176884270909,POLYIC_20190510_mouse38__E2_P1
axis0_+4mm,0.9868277893026562,0.9115161099031429,0.9066081443550353,0.0049079655481075735,POLYIC_20190510_mouse38__E2_P1
axis0_+6mm,0.9921632818611119,0.9093837081711755,0.9066081443550353,0.002775563816140192,POLYIC_20190510_mouse38__E2_P1
axis1_+1mm,0.9758702503629731,0.8883085267017966,0.9066081443550353,-0.01829961765323873,POLYIC_20190510_mouse38__E2_P1
axis1_+2mm,0.9881464113586036,0.9074648053945344,0.9066081443550353,0.000856661039499107,POLYIC_20190510_mouse38__E2_P1
axis1_+4mm,0.9911174250577582,0.900463342787714,0.9066081443550353,-0.006144801567321334,POLYIC_20190510_mouse38__E2_P1
axis1_+6mm,0.9866120966695969,0.9030151266572992,0.9066081443550353,-0.003593017697736123,POLYIC_20190510_mouse38__E2_P1
axis2_+1mm,0.9814380505662967,0.8966333242517417,0.9066081443550353,-0.009974820103293647,POLYIC_20190510_mouse38__E2_P1
axis2_+2mm,0.9813414019162885,0.9026440326795847,0.9066081443550353,-0.003964111675450632,POLYIC_20190510_mouse38__E2_P1
axis2_+4mm,0.965962802405258,0.8764026164447044,0.9066081443550353,-0.03020552791033093,POLYIC_20190510_mouse38__E2_P1
axis2_+6mm,0.9720502802288657,0.9200929096525466,0.9066081443550353,0.013484765297511303,POLYIC_20190510_mouse38__E2_P1
resampling_floor,0.9999854741949072,0.9181049967979257,0.9181062759676362,-1.2791697104885813e-06,POLYIC_20190510_mouse39__E4_P1
