dataset,subject,axis_angle_to_fixed_reference_deg,centroid_offset_x_mm,centroid_offset_y_mm,centroid_offset_z_mm,centroid_offset_mag_mm,extent_x_mm,extent_y_mm,extent_z_mm,axcodes,voxel_count,axis_angle_within_dataset_deg
CAMRI (rat brain),021,89.70636410373453,-0.15944683074624508,-0.9897649840438817,0.5962203361817355,1.1664204665347178,16.900000251829624,11.000000297788317,11.100000302317056,RIA,154274,3.8733385101957145
CAMRI (rat brain),063,84.31934300683837,0.78964828080723,-2.845189359904043,0.14116558073854613,2.956108019386004,14.800000220537186,27.400000408291817,10.800000160932541,RPI,252750,84.56245619495027
CAMRI (rat brain),035,89.4528986520581,0.2930656841825812,-1.0455350058853814,2.4639831687509637,2.6926277127863756,15.70000023394823,11.000000287519754,10.900000299336824,RIA,134029,3.1468736848737473
CAMRI (rat brain),112,88.42038770836501,-0.7261681573036304,-1.250811835973971,0.5643625520282809,1.5525319744939878,15.400000229477882,28.000000417232513,11.60000017285347,RPI,264222,87.57965569947626
CAMRI (rat brain),123,87.37163750020717,0.14351346228463713,-1.0397386504425477,-1.314964183400174,1.6824932031679356,15.400000229477882,11.000000273828338,9.600000108822606,RIA,121544,2.129852660464789
CAMRI (rat brain),094,89.34891511150279,-0.2436583139067282,-2.366651934052945,0.37764923783699267,2.4089478403924143,14.400000214576721,26.600000396370888,10.000000149011612,RPI,239258,87.26844971369894
CAMRI (rat brain),109,87.85178319656237,-1.2563361889876072,-1.9667525227219127,0.20001437790381527,2.342328298245394,14.600000217556953,26.600000396370888,11.000000163912773,RPI,236523,86.85658425811692
CAMRI (rat brain),127,86.44920900485306,-0.1654088330758333,-1.0203032009170676,-1.352701460689737,1.702404166352183,15.70000023394823,11.000000256714067,9.500000278475198,RIA,122936,6.199038692514942
CAMRI (rat brain),064,89.7870022693753,1.026791154128723,-2.5796674572005025,0.8946672980175983,2.91708996057345,14.400000214576721,28.000000417232513,10.400000154972076,RPI,261049,86.17210723854508
CAMRI (rat brain),007,88.01718682798962,0.04622646756406823,-0.9398087161754214,-2.0439177811565674,2.250106043152351,15.900000236928463,11.0,11.000000163912773,RIA,145752,2.2295307393371266
CAMRI (rat brain),043,88.55887931818913,1.0016503315124885,-0.9414108095886271,1.7512975854048376,2.2263425009809716,15.400000229477882,11.000000297788317,10.50000012223365,RIA,132823,3.2558425902838666
CAMRI (rat brain),078,85.07744842916263,1.0567753868139946,-3.0020298119243436,0.6843491137852915,3.2553480488877207,14.400000214576721,27.000000402331352,10.600000157952309,RPI,244363,88.5422452032793
CAMRI (rat brain),009,87.87592407651374,-0.3612274538363174,-1.0038659793814437,-1.6616040993793693,1.9746291705124936,15.500000230967999,11.0,10.200000151991844,RIA,130368,2.036188925245502
CAMRI (rat brain),099,89.66289519876766,-0.3360223326294892,-1.0043687376989867,0.2710147149254176,1.0932138605958692,17.50000026077032,11.000000294365464,10.700000296356592,RIA,154965,2.411543414985372
Mouse (POLYIC brain),POLYIC_20190510_mouse30__E2_P1,13.503350798881666,1.0235691993400902,-2.8141605343838676,-1.2736385595447444,3.254127932254757,10.036856280830346,7.431741495918908,13.400450945104534,LPS,104710,6.378363680513103
Mouse (POLYIC brain),POLYIC_20190510_mouse31__E2_P1,14.70729696533781,0.18061296944290817,-2.9765147761691484,-1.2821964658136382,3.245965039002922,9.970636696024687,7.8002894234204465,13.43054379822542,LPS,110439,7.658516606296556
Mouse (POLYIC brain),POLYIC_20190510_mouse32__E2_P1,13.273267517054103,0.4067354047772112,-2.4165234552064545,-1.2382749247787417,2.7456045032739187,10.123823196284391,7.5118622986631465,13.456838804142741,LPS,112575,6.1454180586557206
Mouse (POLYIC brain),POLYIC_20190510_mouse34__E2_P1,13.694442419843607,1.1737580724377104,-2.893825647624931,-1.2363662646228646,3.358650983916316,9.921914315906793,7.51716249498136,13.513257171756743,LPS,104928,6.5670507332714
Mouse (POLYIC brain),POLYIC_20190510_mouse35__E3_P1,12.033816793269201,0.5764190686031035,-3.0088859574350852,-1.2168999729764594,3.29643734837012,10.121879660364055,7.14585720077519,13.417933165933654,LPS,107899,4.874864693554577
Mouse (POLYIC brain),POLYIC_20190510_mouse37__E2_P1,11.95065271404613,0.08670013443126301,-2.125201949306983,-1.2859056578156367,2.4854684869156687,10.321319480637502,7.1877954515948606,13.61052608258086,LPS,121082,5.098077352632921
Mouse (POLYIC brain),POLYIC_20190510_mouse38__E2_P1,12.8317408039578,0.9126393122547557,-2.723632530110402,-1.1029709122754687,3.0769513331663543,10.264670047165122,7.268997657858982,13.525402438240555,LPS,115244,5.916741498373425
Mouse (POLYIC brain),POLYIC_20190510_mouse39__E4_P1,11.705481612152498,-0.19827677925021664,-2.5795816830124325,-1.0579427309733371,2.7951383083029033,10.348129580572136,6.97395642756412,13.49589031607573,LPS,117869,4.593377375284102
Mouse (POLYIC brain),POLYIC_20190510_mouse40__E2_P1,11.259207204896894,0.4496933519495283,-2.6059393528205623,-1.2242092267188855,2.914074853559892,10.30112143419196,7.080998252193387,13.474083388722347,LPS,113350,4.108512731048347
Mouse (POLYIC brain),POLYIC_20190510_mouse41__E2_P1,12.708470846587488,-0.9542833492240537,-3.044144994730671,-1.2323262895945797,3.4199566581429095,10.13305995025228,7.423325036428137,13.491828400994626,LPS,118452,5.820237848829365
Mouse (POLYIC brain),POLYIC_20190510_mouse42__E2_P1,17.48720830524944,0.2547598399916652,-2.0125570440009084,-1.268119097743356,2.392365874504081,10.05726686884815,8.097829517170346,13.43617859558302,LPS,115179,10.364488838284158
Mouse (POLYIC brain),POLYIC_20190510_mouse43__E2_P1_1,78.04474811821689,0.19785148667063737,-3.397889626571371,-3.7607483594271116,5.072280290763989,10.315858806982044,7.1951411629153625,9.411652978871759,LPS,79141,77.3599545021876
Mouse (POLYIC brain),POLYIC_20190510_mouse43__E9_P1,2.473577439539635,1.30916163083898,-3.4959069130671088,-0.9383707448985716,3.8491309376757865,10.31341588106853,7.238409098506331,13.491779916887214,LPS,117277,8.847576173572053
Mouse (POLYIC brain),POLYIC_20190510_mouse44__E4_P1,21.10199671767866,1.510397462471795,-2.183034672724284,-1.6769394511922768,3.1399150943811707,10.450597049769126,9.386426061566755,13.110689294418087,LPS,115247,13.97752947111182
Mouse (POLYIC brain),POLYIC_20190517_mouse30__E3_P1,5.265904313332003,-1.5866800199993811,-2.098690366766091,-1.0229734538479356,2.822858379143311,10.08579161138389,6.762788923865449,13.596038634289265,LPS,113123,1.9349447158970254
Mouse (POLYIC brain),POLYIC_20190517_mouse31__E3_P1,8.64077326475119,-0.049364939869931124,-1.275059395334067,-1.0452296208356116,1.6494600083634021,10.335454949439352,6.672938101508809,13.54051746633162,LPS,111338,1.861810126494954
Mouse (POLYIC brain),POLYIC_20190517_mouse32__E3_P1,9.810570776847989,-0.5720208117587403,-3.3152522747116864,-1.183987021158937,3.5665011874859864,10.25768441497977,7.263213644140171,13.581635565193206,LPS,115422,2.8451417454296006
Mouse (POLYIC brain),POLYIC_20190517_mouse33__E2_P1,8.250200978347452,-1.1175649552371498,-1.6110816389670335,-0.8643204143498393,2.1427984635174613,9.964703466795855,6.744449170547095,13.544118995511845,LPS,109688,2.425112880009871
Mouse (POLYIC brain),POLYIC_20190517_mouse35__E2_P1,12.211079494377392,0.41850769140249033,-2.9524670430321063,-1.1871315806124028,3.209593699775891,10.186233451668748,7.442033353344385,13.508294068815989,LPS,112277,5.076924846042834
Mouse (POLYIC brain),POLYIC_20190517_mouse36__E2_P1,11.997938696148813,-0.6087515794207067,-3.0393162374604423,-1.1174972912909533,3.2949691763020366,10.407645565336335,7.63609681694205,13.550465737726118,LPS,116017,4.959254816391285
Mouse (POLYIC brain),POLYIC_20190517_mouse37__E3_P1,15.49109502541366,-0.16245388117779413,-2.595210708248854,-0.6146882745142799,2.6719565038646476,10.524637961768008,7.617928006179843,12.442425701693898,LPS,301479,8.431846320046745
Mouse (POLYIC brain),POLYIC_20190517_mouse38__E3_P1,16.230367125744372,-1.5130144265533838,-1.4901595700186958,-1.2156191206905538,2.44694054804473,9.836021912609056,7.90994857787909,13.199813449558079,LPS,115836,9.620327660844085
Mouse (POLYIC brain),POLYIC_20190517_mouse39__E12_P1,9.367101994852813,-0.10980075706375347,-3.474120914350163,-0.7529781798456804,3.5564797866852413,10.314703893895611,6.799734456042199,12.540700446924086,LPS,295269,2.91001052680783
Mouse (POLYIC brain),POLYIC_20190517_mouse40__E3_P1,8.649141296489304,-1.081831903046365,-3.891526281790954,-1.4341078956868336,4.286140749530977,10.16185200543069,6.7446329956334665,13.486361772698327,LPS,114552,1.5076648656733278
Mouse (POLYIC brain),POLYIC_20190517_mouse41__E3_P1,9.50842802787609,-1.1425216053304441,-2.879125735028733,-1.3209221692337316,3.3674257221095085,10.15487851522744,7.02294434566387,13.220173622799111,LPS,118118,3.58294268554057
Mouse (POLYIC brain),POLYIC_20190517_mouse42__E4_P1,10.82231614551358,-0.5590612173736874,-3.253623262987842,-0.9500701102771272,3.435294310051032,10.325776488277937,7.342862417855814,13.582175858026496,LPS,117902,3.830551175548502
Mouse (POLYIC brain),POLYIC_20190517_mouse43__E3_P1,15.306514701865819,-0.6064032065344518,-2.608589894876582,-1.1474813464922018,2.913619661022186,10.199965979667743,8.341999465084456,13.385176267446207,LPS,119457,8.391458332646186
Mouse (POLYIC brain),POLYIC_20190517_mouse44__E3_P1,14.655685478266024,-0.4797288374717852,-2.163733302705814,-1.0511034296443622,2.4528962437393025,10.315128065249644,8.0547824461271,13.476172994650355,LPS,119760,7.503322992063365
Mouse (POLYIC brain),POLYIC_20190524_polyic___E3_P1,0.9576256533916313,-0.06813631318167424,-1.6174810596694038,-1.1545761161904833,1.9884500354901424,10.000000149011612,6.699962591797321,14.399998761658289,LPS,111274,7.115934330156145
Mouse (POLYIC brain),POLYIC_20190524_polyic___E3_P1_1,7.054744351901659,0.05553488375817617,-2.675024682236629,-1.3589992117685008,3.0009531871518123,10.400000154972076,6.700000096565459,13.60001886285221,LPS,117708,0.11705486345873192
Mouse (POLYIC brain),POLYIC_20190524_polyic___E3_P1_10,4.918015421670992,-0.9451348577598181,-2.843525805808663,-1.3455204445658389,3.2847137126996517,10.163140714425564,6.917720884852274,13.600021988262538,LPS,112365,2.884608555775146
Mouse (POLYIC brain),POLYIC_20190524_polyic___E3_P1_12,9.520226038168973,-0.4058129110670132,-1.681883416061044,-1.0094151399853686,2.0030813435408787,10.000000149011612,7.800237642900845,13.999962700817584,LPS,118667,2.512391037397481
Mouse (POLYIC brain),POLYIC_20190524_polyic___E3_P1_13,0.5823803110248642,0.5247448824929849,-2.091677592860417,-1.0971136664987093,2.419531099489148,10.000000149011612,6.7999625931938885,14.00002520882502,LPS,109554,7.610787535951399
Mouse (POLYIC brain),POLYIC_20190524_polyic___E3_P1_3,10.440844958078246,0.9639540649507685,-1.3878850967674317,-0.9845749503749199,1.955714783415524,10.000000173457268,7.4999501017355055,14.000049154622138,LPS,111369,17.472235952689886
Mouse (POLYIC brain),POLYIC_20190524_polyic___E3_P1_4,6.8925921826727174,-0.7636543149649231,-2.7498658233607385,-0.8273647958211772,2.9714411427144567,10.100000150501728,6.400212619514425,13.999947073815724,LPS,113510,2.02817298436082
Mouse (POLYIC brain),POLYIC_20190524_polyic___E3_P1_5,3.88091756068215,-0.7007520672721451,-1.989108968679777,-1.4151089535198746,2.5397128379800393,9.900000147521496,6.8999625945904555,13.200059506509328,LPS,110364,3.336274804594677
Mouse (POLYIC brain),POLYIC_20190524_polyic___E3_P1_6,3.8671986072745295,-0.3178950969427704,-3.4758484154641427,-0.4609158921191918,3.5206566091501847,9.900000147521496,7.300225133821931,13.999971014720028,LPS,118485,3.3299782170908925
Mouse (POLYIC brain),POLYIC_20190524_polyic___E3_P1_7,1.7459360977595049,0.3418983635090963,-2.6217640221001726,-1.1954023291590132,2.9016422603601337,10.100000150501728,6.599937587177287,14.000011644924864,LPS,106787,8.84713311370708
Mouse (POLYIC brain),POLYIC_20190524_polyic___E3_P1_9,5.232280721132899,-0.20403884396637184,-3.246178707386741,-1.1483560606442786,3.449352068455268,10.000000149011612,6.799925088381043,14.80001289756767,LPS,110502,11.062610881952262
Mouse (POLYIC brain),POLYIC_20190524_polyic___E4_P1_1,4.458205933635129,-0.33251050868994747,-2.246271601249807,-1.4759781595901567,2.708285596564322,9.900000147521496,6.999975097710527,13.200028035256901,LPS,112579,2.742466932067944
Mouse (POLYIC brain),POLYIC_20190524_polyic___E4_P1_7,2.3662912977555477,0.01778431291272856,-3.328633701371014,-1.0282542998311803,3.4838808109362733,9.700000144541264,6.599962590311337,14.00002520882502,LPS,109158,9.446486523534626
Mouse (POLYIC brain),POLYIC_20190524_polyic___E4_P1_9,2.0566367228706994,0.4607264401896569,-2.5216269111424774,-1.37070702930089,2.9068382981966256,10.100000150501728,7.199975100563272,14.400003426194488,LPS,114367,6.5458441055194045
Mouse (POLYIC brain),POLYIC_20190524_polyic___E8_P1_1,6.293875705792899,0.8673827542223025,-2.0142101979248666,-0.9540808744474127,2.3915822960402466,10.100000150501728,7.000000100889284,13.999953324616467,LPS,112465,1.8315953788226091
Mouse (POLYIC brain),POLYIC_20190524_polyic___E9_P1_1,15.56479760472279,0.06330106133975538,-1.9993040826681021,0.07042763634971316,2.0015453757788975,10.100000150501728,9.000250162098494,13.999945010714022,LPS,121464,8.811906731018098
Mouse (POLYIC brain),POLYIC_20190531_polyic_m__E3_P1,9.984320745170145,0.09305093016557198,-2.3678367635273694,-1.4451855933278532,2.7755847696438356,10.249005897901853,7.164010902772315,13.999947073863856,LPS,116419,3.0225350646344453
Mouse (POLYIC brain),POLYIC_20190531_polyic_m__E3_P1_1,6.216336174315254,0.14861317560209963,-3.2599166302872784,-1.5173080411090758,3.5988006341002503,10.155631241113415,6.890869117505726,14.399940918197945,LPS,110713,1.4674282584533043
Mouse (POLYIC brain),POLYIC_20190531_polyic_m__E3_P1_10,3.462270283050625,-0.5862293992282005,-2.0338111519396276,-1.2420330828163726,2.4541187601833356,10.000000149011612,6.899950093038333,14.400013782028763,LPS,114207,10.36981329364075
Mouse (POLYIC brain),POLYIC_20190531_polyic_m__E3_P1_11,10.05497562454962,0.14930215367053656,-3.1985335674357973,-1.7076569907738595,3.628911753300576,10.000000149011612,7.000187624953515,13.599981358047746,LPS,114853,3.049425639903982
Mouse (POLYIC brain),POLYIC_20190531_polyic_m__E3_P1_12,9.443774186210325,-0.6939320965182465,-3.161378570348602,-1.678384288204708,3.645933356293009,9.900000147521496,6.700237626763656,13.599927640779912,LPS,112790,2.3633921108548717
