task,transform,self_consistency_dice,transformed_vs_expert_dice,baseline_vs_expert_dice,accuracy_delta,subject
brain,resampling_floor,0.9999915185954794,0.9568860305891925,0.9568770016445944,9.02894459808845e-06,POLYIC_20190510_mouse43__E9_P1
brain,axis0_+1mm,0.9930405445498394,0.956217829490895,0.9568770016445944,-0.0006591721536994832,POLYIC_20190510_mouse43__E9_P1
brain,axis0_+2mm,0.9921275822122255,0.9552408812032411,0.9568770016445944,-0.001636120441353306,POLYIC_20190510_mouse43__E9_P1
brain,axis0_+4mm,0.9950724711430001,0.958030034188774,0.9568770016445944,0.001153032544179533,POLYIC_20190510_mouse43__E9_P1
brain,axis0_+6mm,0.9918270543270543,0.9583950122777382,0.9568770016445944,0.0015180106331437182,POLYIC_20190510_mouse43__E9_P1
brain,axis1_+1mm,0.9865968604186675,0.9557010886064969,0.9568770016445944,-0.001175913038097498,POLYIC_20190510_mouse43__E9_P1
brain,axis1_+2mm,0.9914681984935906,0.9558601011629415,0.9568770016445944,-0.001016900481652927,POLYIC_20190510_mouse43__E9_P1
brain,axis1_+4mm,0.9887360253418368,0.9528296209691979,0.9568770016445944,-0.004047380675396561,POLYIC_20190510_mouse43__E9_P1
brain,axis1_+6mm,0.9866424107669244,0.9549501546923341,0.9568770016445944,-0.0019268469522603082,POLYIC_20190510_mouse43__E9_P1
brain,axis2_+1mm,0.9657498016397779,0.936738100456929,0.9568770016445944,-0.02013890118766548,POLYIC_20190510_mouse43__E9_P1
brain,axis2_+2mm,0.9678920428106096,0.9371874205306434,0.9568770016445944,-0.019689581113951027,POLYIC_20190510_mouse43__E9_P1
brain,axis2_+4mm,0.9861527984462884,0.9538891796134412,0.9568770016445944,-0.00298782203115322,POLYIC_20190510_mouse43__E9_P1
brain,axis2_+6mm,0.9510594989984835,0.9203317374874938,0.9568770016445944,-0.03654526415710069,POLYIC_20190510_mouse43__E9_P1
brain,resampling_floor,0.9999910684779794,0.9670618751092266,0.9670529801324503,8.894976776252506e-06,POLYIC_20190517_mouse33__E2_P1
brain,axis0_+1mm,0.9949054052844108,0.9688407734939093,0.9670529801324503,0.0017877933614589558,POLYIC_20190517_mouse33__E2_P1
brain,axis0_+2mm,0.9962532080229636,0.9674264401160382,0.9670529801324503,0.0003734599835878427,POLYIC_20190517_mouse33__E2_P1
brain,axis0_+4mm,0.9972737430167598,0.9677348086641935,0.9670529801324503,0.000681828531743145,POLYIC_20190517_mouse33__E2_P1
brain,axis0_+6mm,0.9959087206023223,0.9682547000193625,0.9670529801324503,0.0012017198869122003,POLYIC_20190517_mouse33__E2_P1
brain,axis1_+1mm,0.9933948144364083,0.9693450869986615,0.9670529801324503,0.0022921068662111743,POLYIC_20190517_mouse33__E2_P1
brain,axis1_+2mm,0.995424304019628,0.9686903433456604,0.9670529801324503,0.0016373632132100635,POLYIC_20190517_mouse33__E2_P1
brain,axis1_+4mm,0.9970555168906259,0.9661674170724984,0.9670529801324503,-0.0008855630599519104,POLYIC_20190517_mouse33__E2_P1
brain,axis1_+6mm,0.9800054634696557,0.952039696290719,0.9670529801324503,-0.015013283841731284,POLYIC_20190517_mouse33__E2_P1
brain,axis2_+1mm,0.985223245924876,0.9600861031048196,0.9670529801324503,-0.006966877027630769,POLYIC_20190517_mouse33__E2_P1
brain,axis2_+2mm,0.9927674221089804,0.9679130106526963,0.9670529801324503,0.000860030520245969,POLYIC_20190517_mouse33__E2_P1
brain,axis2_+4mm,0.9948513861995735,0.9663588329887434,0.9670529801324503,-0.0006941471437069691,POLYIC_20190517_mouse33__E2_P1
brain,axis2_+6mm,0.9920668953687821,0.9671916976410407,0.9670529801324503,0.00013871750859040244,POLYIC_20190517_mouse33__E2_P1
brain,resampling_floor,0.9999736242867567,0.9708163155148527,0.9708075819321872,8.733582665509942e-06,POLYIC_20190517_mouse35__E2_P1
brain,axis0_+1mm,0.9957043766064575,0.9719242305509769,0.9708075819321872,0.001116648618789684,POLYIC_20190517_mouse35__E2_P1
brain,axis0_+2mm,0.9958271709275301,0.9717410300065761,0.9708075819321872,0.0009334480743888873,POLYIC_20190517_mouse35__E2_P1
brain,axis0_+4mm,0.9968173585834608,0.9713473492924549,0.9708075819321872,0.0005397673602677289,POLYIC_20190517_mouse35__E2_P1
brain,axis0_+6mm,0.9957156458267217,0.9727476928905848,0.9708075819321872,0.001940110958397634,POLYIC_20190517_mouse35__E2_P1
brain,axis1_+1mm,0.994629147002888,0.9720252628544143,0.9708075819321872,0.0012176809222270712,POLYIC_20190517_mouse35__E2_P1
brain,axis1_+2mm,0.995597118754513,0.9718415195667649,0.9708075819321872,0.0010339376345777085,POLYIC_20190517_mouse35__E2_P1
brain,axis1_+4mm,0.9960273960589664,0.9691156413753499,0.9708075819321872,-0.0016919405568373014,POLYIC_20190517_mouse35__E2_P1
brain,axis1_+6mm,0.989412997903564,0.9637970633707785,0.9708075819321872,-0.007010518561408663,POLYIC_20190517_mouse35__E2_P1
brain,axis2_+1mm,0.9800581636892397,0.9571414659194533,0.9708075819321872,-0.013666116012733931,POLYIC_20190517_mouse35__E2_P1
brain,axis2_+2mm,0.9870204687295422,0.9642085335143148,0.9708075819321872,-0.0065990484178724,POLYIC_20190517_mouse35__E2_P1
brain,axis2_+4mm,0.993945137682304,0.9700920314253647,0.9708075819321872,-0.0007155505068224821,POLYIC_20190517_mouse35__E2_P1
brain,axis2_+6mm,0.9543605508064177,0.9302810110889179,0.9708075819321872,-0.04052657084326927,POLYIC_20190517_mouse35__E2_P1
brain,resampling_floor,0.9999914022130704,0.9748718173451948,0.9748803618069312,-8.544461736370579e-06,POLYIC_20190517_mouse36__E2_P1
brain,axis0_+1mm,0.9964784184740961,0.9758354033723349,0.9748803618069312,0.0009550415654037137,POLYIC_20190517_mouse36__E2_P1
brain,axis0_+2mm,0.9973785765240785,0.9748455776054672,0.9748803618069312,-3.4784201463966546e-05,POLYIC_20190517_mouse36__E2_P1
brain,axis0_+4mm,0.9974545079288638,0.9751731393004296,0.9748803618069312,0.00029277749349843063,POLYIC_20190517_mouse36__E2_P1
brain,axis0_+6mm,0.9964494389768869,0.9760331740230531,0.9748803618069312,0.0011528122161219567,POLYIC_20190517_mouse36__E2_P1
brain,axis1_+1mm,0.9940764117023203,0.9758357286639768,0.9748803618069312,0.0009553668570456697,POLYIC_20190517_mouse36__E2_P1
brain,axis1_+2mm,0.9953534797274042,0.9743162400659637,0.9748803618069312,-0.0005641217409674271,POLYIC_20190517_mouse36__E2_P1
brain,axis1_+4mm,0.9961046761046761,0.9731842989084802,0.9748803618069312,-0.001696062898450923,POLYIC_20190517_mouse36__E2_P1
brain,axis1_+6mm,0.994450457880178,0.9723798514782122,0.9748803618069312,-0.002500510328719008,POLYIC_20190517_mouse36__E2_P1
brain,axis2_+1mm,0.9801250444772023,0.9622358060505595,0.9748803618069312,-0.01264455575637169,POLYIC_20190517_mouse36__E2_P1
brain,axis2_+2mm,0.991576620193832,0.9714635105035594,0.9748803618069312,-0.0034168513033717707,POLYIC_20190517_mouse36__E2_P1
brain,axis2_+4mm,0.9945499417289367,0.9726245173913803,0.9748803618069312,-0.002255844415550823,POLYIC_20190517_mouse36__E2_P1
brain,axis2_+6mm,0.9776438716864572,0.9576786466799109,0.9748803618069312,-0.01720171512702029,POLYIC_20190517_mouse36__E2_P1
brain,resampling_floor,1.0,0.9656010653034596,0.9656010653034596,0.0,POLYIC_20190517_mouse37__E3_P1
brain,axis0_+1mm,0.9952719913465229,0.965484000535547,0.9656010653034596,-0.00011706476791262244,POLYIC_20190517_mouse37__E3_P1
brain,axis0_+2mm,0.9960858321101559,0.965052970363417,0.9656010653034596,-0.0005480949400425983,POLYIC_20190517_mouse37__E3_P1
brain,axis0_+4mm,0.9968353050922818,0.9654421865800789,0.9656010653034596,-0.00015887872338071762,POLYIC_20190517_mouse37__E3_P1
brain,axis0_+6mm,0.9943209248027246,0.9646623430285827,0.9656010653034596,-0.000938722274876902,POLYIC_20190517_mouse37__E3_P1
brain,axis1_+1mm,0.992725619458968,0.9645978903670833,0.9656010653034596,-0.0010031749363762499,POLYIC_20190517_mouse37__E3_P1
brain,axis1_+2mm,0.9952517446571237,0.9662857244736045,0.9656010653034596,0.00068465917014493,POLYIC_20190517_mouse37__E3_P1
brain,axis1_+4mm,0.9950199203187251,0.9646774842429932,0.9656010653034596,-0.0009235810604664163,POLYIC_20190517_mouse37__E3_P1
