task,transform,stage,relative_l2,cosine,subject
brain,axis1_+4mm,encoder_level2,0.302402526140213,0.9533747434616089,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+4mm,encoder_level3,0.2419929802417755,0.9705200791358948,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+4mm,encoder_level4,0.19421708583831787,0.9809763431549072,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+4mm,canvas_level4,0.19421708583831787,0.9809763431549072,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+4mm,canvas_level3,0.3511607050895691,0.9365680813789368,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+4mm,canvas_level2,0.3407383859157562,0.9409401416778564,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+4mm,canvas_level1,0.2913448214530945,0.9568281173706055,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+4mm,canvas_level0,0.3247920870780945,0.9461756944656372,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+4mm,output_logits,0.28976917266845703,0.9572267532348633,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+4mm,query_mask_embedding,0.008701896294951439,0.9999712705612183,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+6mm,input,0.11194872111082077,0.9937139749526978,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+6mm,encoder_level0,0.23544985055923462,0.9720587730407715,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+6mm,encoder_level1,0.3681015968322754,0.9299758672714233,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+6mm,encoder_level2,0.42332974076271057,0.9059788584709167,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+6mm,encoder_level3,0.39184439182281494,0.9201444387435913,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+6mm,encoder_level4,0.24015915393829346,0.970934271812439,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+6mm,canvas_level4,0.24015915393829346,0.970934271812439,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+6mm,canvas_level3,0.438293993473053,0.9005140066146851,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+6mm,canvas_level2,0.43524137139320374,0.9010666608810425,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+6mm,canvas_level1,0.37560173869132996,0.9274718761444092,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+6mm,canvas_level0,0.4157201051712036,0.9107404351234436,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+6mm,output_logits,0.4001140892505646,0.9164779186248779,POLYIC_20190510_mouse34__E2_P1
brain,axis1_+6mm,query_mask_embedding,0.007748651318252087,0.9999792575836182,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+1mm,input,0.1588144600391388,0.9876251220703125,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+1mm,encoder_level0,0.4135863780975342,0.9107738733291626,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+1mm,encoder_level1,0.20568373799324036,0.9786673188209534,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+1mm,encoder_level2,0.2178165167570114,0.9760546088218689,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+1mm,encoder_level3,0.17303897440433502,0.9849628210067749,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+1mm,encoder_level4,0.29933643341064453,0.9541637897491455,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+1mm,canvas_level4,0.29933643341064453,0.9541637897491455,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+1mm,canvas_level3,0.3197963535785675,0.9481914639472961,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+1mm,canvas_level2,0.2880941331386566,0.9580456018447876,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+1mm,canvas_level1,0.23433588445186615,0.9721907377243042,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+1mm,canvas_level0,0.21083062887191772,0.9776253700256348,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+1mm,output_logits,0.08423660695552826,0.9964653253555298,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+1mm,query_mask_embedding,0.013266109861433506,0.9999301433563232,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+2mm,input,2.82952032648609e-06,1.0000001192092896,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+2mm,encoder_level0,0.03625156357884407,0.999342679977417,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+2mm,encoder_level1,0.2919282913208008,0.9564481377601624,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+2mm,encoder_level2,0.25416406989097595,0.9671660661697388,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+2mm,encoder_level3,0.17471037805080414,0.9846310019493103,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+2mm,encoder_level4,0.1866479367017746,0.9824898838996887,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+2mm,canvas_level4,0.1866479367017746,0.9824898838996887,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+2mm,canvas_level3,0.34337568283081055,0.9401645660400391,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+2mm,canvas_level2,0.3445111811161041,0.9391040205955505,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+2mm,canvas_level1,0.3241608440876007,0.9461221694946289,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+2mm,canvas_level0,0.2726832628250122,0.9625017046928406,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+2mm,output_logits,0.18285192549228668,0.9832854270935059,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+2mm,query_mask_embedding,0.009845392778515816,0.99996018409729,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+4mm,input,2.9688942504435545e-06,1.0,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+4mm,encoder_level0,0.08879782259464264,0.9960496425628662,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+4mm,encoder_level1,0.2445852905511856,0.9696301221847534,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+4mm,encoder_level2,0.37459689378738403,0.9271883964538574,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+4mm,encoder_level3,0.34231892228126526,0.9396226406097412,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+4mm,encoder_level4,0.2518443763256073,0.9682014584541321,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+4mm,canvas_level4,0.2518443763256073,0.9682014584541321,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+4mm,canvas_level3,0.4066702723503113,0.9138823747634888,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+4mm,canvas_level2,0.4158627986907959,0.9098808765411377,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+4mm,canvas_level1,0.33717915415763855,0.9417660236358643,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+4mm,canvas_level0,0.34890103340148926,0.9377609491348267,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+4mm,output_logits,0.30647778511047363,0.9521774053573608,POLYIC_20190510_mouse34__E2_P1
brain,axis2_+4mm,query_mask_embedding,0.01232249103486538,0.9999377727508545,POLYIC_20190510_mouse34__E2_P1
