domain,subject,baseline_dice,unetr_style_dice,dice_change,baseline_hd95_mm,unetr_style_hd95_mm,hd95_change_mm,baseline_assd_mm,unetr_style_assd_mm
Mouse,POLYIC_20190531_polyic_m__E3_P1_5,0.9797440578666863,0.9811710846931995,0.0014270268265131891,0.10000000149011612,0.10000000149011612,0.0,0.025754049174193955,0.023844550814869997
Mouse,POLYIC_20190531_polyic_m__E3_P1_6,0.9789694735134614,0.9796652807379197,0.000695807224458278,0.10000000149011612,0.10000000149011612,0.0,0.026347873037069168,0.02585915575161746
Mouse,POLYIC_20190531_polyic_m__E3_P1_7,0.9807858855683069,0.9822085409438343,0.0014226553755273263,0.10000000149011612,0.10000000149011612,0.0,0.023358279767458613,0.021893259245740926
Mouse,POLYIC_20190531_polyic_m__E3_P1_8,0.9793268087359602,0.9799495264179445,0.0006227176819842972,0.10000000149011612,0.10000000149011612,0.0,0.026475062103464772,0.02452554328503031
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,0.9805135722590103,0.9819292848413333,0.001415712582323092,0.10000000149011612,0.10000000149011612,0.0,0.024615693742786365,0.02172239375924064
Mouse,POLYIC_20190531_polyic_m__E5_P1_11,0.9790453004086601,0.9808471088096661,0.0018018084010059665,0.10000000149011612,0.10000000149011612,0.0,0.026185093275350804,0.02261521670176855
Mouse,POLYIC_20190612_polyic___E10_P1_1,0.9823748246630482,0.9831596669443584,0.0007848422813102607,0.10000000149011612,0.10000000149011612,0.0,0.01976970970185417,0.018881954353194362
Mouse,POLYIC_20190612_polyic___E12_P1,0.9822278530014693,0.9832712044820381,0.0010433514805687771,0.10000000149011612,0.10000000149011612,0.0,0.021329042576857592,0.019430275159443275
Mouse,POLYIC_20190612_polyic___E3_P1,0.9815566960027279,0.9831799210037775,0.0016232250010496108,0.10000000149011612,0.10000000149011612,0.0,0.02246175998375366,0.019897841813723484
Mouse,POLYIC_20190612_polyic___E3_P1_1,0.9816537988139197,0.9818219219125216,0.00016812309860192443,0.10000000149011612,0.10000000149011612,0.0,0.021656145522797463,0.022204726935009203
Mouse,POLYIC_20190612_polyic___E3_P1_2,0.9820203370746983,0.982371626127549,0.0003512890528507562,0.10000000149011612,0.10000000149011612,0.0,0.020703129682060433,0.02022821946711766
Mouse,POLYIC_20190612_polyic___E3_P1_3,0.9810555477594847,0.98231209131918,0.001256543559695289,0.10000000149011612,0.10000000149011612,0.0,0.022351527953660077,0.02058529806498122
Mouse,POLYIC_20190612_polyic___E3_P1_4,0.9816059569329845,0.9822744916491578,0.0006685347161733413,0.10000000149011612,0.10000000149011612,0.0,0.0214875274861034,0.020834999013772785
Mouse,POLYIC_20190614_polyic___E3_P1,0.9822385724994692,0.9836753084708166,0.0014367359713474137,0.10000000149011612,0.10000000149011612,0.0,0.02087656607086709,0.019076306349470315
Mouse,POLYIC_20190614_polyic___E3_P1_1,0.9810156980712353,0.9824573217953466,0.001441623724111274,0.10000000149011612,0.10000000149011612,0.0,0.0235942032164561,0.021436587389472326
Mouse,POLYIC_20190614_polyic___E3_P1_3,0.9798361636369679,0.9818766551591233,0.002040491522155352,0.10000000149011612,0.10000000149011612,0.0,0.026913371258009303,0.024974258665922636
Mouse,POLYIC_20190614_polyic___E3_P1_4,0.9817475534749371,0.9820723588520326,0.00032480537709544954,0.10000000149011612,0.10000000149011612,0.0,0.022446061391205963,0.021398069399141906
