domain,subject,native_coordinate_axis,candidate_factor_pixels,expected_level1_footprint_pixels,expert_best_residue,expert_max_alignment_fraction,prediction_best_residue,prediction_max_alignment_fraction,prediction_minus_expert_alignment,expert_transition_count,prediction_transition_count,condition
CAMRI,009,y,2,4.999999925494195,0,0.596255119953189,1,0.5376093294460641,-0.05864579050712493,3418,3430,baseline_128
CAMRI,009,y,3,4.999999925494195,0,0.3557636044470451,2,0.3819241982507289,0.026160593803683796,3418,3430,baseline_128
CAMRI,009,y,4,4.999999925494195,0,0.320947922761849,3,0.29008746355685133,-0.030860459204997692,3418,3430,baseline_128
CAMRI,009,y,5,4.999999925494195,1,0.23434757167934464,3,0.4857142857142857,0.25136671403494104,3418,3430,baseline_128
CAMRI,009,y,6,4.999999925494195,0,0.2141603276770041,5,0.20145772594752187,-0.012702601729482232,3418,3430,baseline_128
CAMRI,009,y,7,4.999999925494195,5,0.16881217086015213,4,0.2067055393586006,0.03789336849844846,3418,3430,baseline_128
CAMRI,009,y,8,4.999999925494195,0,0.19689877121123464,7,0.23236151603498542,0.03546274482375078,3418,3430,baseline_128
CAMRI,009,x,2,3.1999998807907124,0,0.5891472868217055,0,0.5003633720930233,-0.08878391472868219,2580,2752,higher_res_192
CAMRI,009,x,3,3.1999998807907124,0,0.3581395348837209,1,0.34011627906976744,-0.018023255813953476,2580,2752,higher_res_192
CAMRI,009,x,4,3.1999998807907124,2,0.30426356589147285,0,0.26526162790697677,-0.03900193798449608,2580,2752,higher_res_192
CAMRI,009,x,5,3.1999998807907124,3,0.20852713178294574,4,0.21693313953488372,0.008406007751937977,2580,2752,higher_res_192
CAMRI,009,x,6,3.1999998807907124,0,0.2116279069767442,0,0.17732558139534885,-0.03430232558139534,2580,2752,higher_res_192
CAMRI,009,x,7,3.1999998807907124,1,0.15271317829457365,6,0.1529796511627907,0.00026647286821704363,2580,2752,higher_res_192
CAMRI,009,x,8,3.1999998807907124,2,0.16162790697674417,1,0.13880813953488372,-0.022819767441860456,2580,2752,higher_res_192
CAMRI,009,y,2,4.999999925494195,0,0.596255119953189,0,0.5315547905909351,-0.0647003293622539,3418,3486,higher_res_192
CAMRI,009,y,3,4.999999925494195,0,0.3557636044470451,2,0.361732644865175,0.005969040418129901,3418,3486,higher_res_192
CAMRI,009,y,4,4.999999925494195,0,0.320947922761849,2,0.26993689041881813,-0.05101103234303089,3418,3486,higher_res_192
CAMRI,009,y,5,4.999999925494195,1,0.23434757167934464,1,0.33419391853126795,0.09984634685192331,3418,3486,higher_res_192
CAMRI,009,y,6,4.999999925494195,0,0.2141603276770041,5,0.18646012621916236,-0.027700201457841744,3418,3486,higher_res_192
CAMRI,009,y,7,4.999999925494195,5,0.16881217086015213,5,0.19334480780263913,0.024532636942487,3418,3486,higher_res_192
CAMRI,009,y,8,4.999999925494195,0,0.19689877121123464,7,0.17670682730923695,-0.02019194390199769,3418,3486,higher_res_192
CAMRI,099,x,2,3.1999998807907124,0,0.5771979985704074,1,0.5033967391304348,-0.07380125943997262,2798,2944,baseline_128
CAMRI,099,x,3,3.1999998807907124,2,0.34774839170836314,1,0.34952445652173914,0.0017760648133759993,2798,2944,baseline_128
CAMRI,099,x,4,3.1999998807907124,0,0.28984989278055756,2,0.2591711956521739,-0.03067869712838367,2798,2944,baseline_128
CAMRI,099,x,5,3.1999998807907124,0,0.21622587562544673,4,0.21976902173913043,0.0035431461136836984,2798,2944,baseline_128
CAMRI,099,x,6,3.1999998807907124,2,0.20836311651179415,1,0.18172554347826086,-0.026637573033533285,2798,2944,baseline_128
CAMRI,099,x,7,3.1999998807907124,4,0.1529664045746962,1,0.1531929347826087,0.00022653020791249534,2798,2944,baseline_128
CAMRI,099,x,8,3.1999998807907124,0,0.14653323802716225,1,0.13077445652173914,-0.01575878150542312,2798,2944,baseline_128
CAMRI,099,y,2,4.999999925494195,0,0.5454308093994779,0,0.5406397482957525,-0.0047910611037254025,3830,3814,baseline_128
CAMRI,099,y,3,4.999999925494195,1,0.3488250652741514,0,0.4153120083901416,0.06648694311599018,3830,3814,baseline_128
CAMRI,099,y,4,4.999999925494195,0,0.283289817232376,2,0.291557420031463,0.008267602799087004,3830,3814,baseline_128
CAMRI,099,y,5,4.999999925494195,1,0.21775456919060052,3,0.4992134242265338,0.28145885503593326,3830,3814,baseline_128
CAMRI,099,y,6,4.999999925494195,4,0.20678851174934726,0,0.2278447823807027,0.021056270631355428,3830,3814,baseline_128
CAMRI,099,y,7,4.999999925494195,6,0.16736292428198432,1,0.23544834819087573,0.06808542390889141,3830,3814,baseline_128
