transform,self_consistency_dice,transformed_vs_expert_dice,baseline_vs_expert_dice,accuracy_delta,subject
axis1_+10deg,0.982155674868644,0.9005276529216337,0.9066081443550353,-0.006080491433401614,POLYIC_20190510_mouse38__E2_P1
axis1_+20deg,0.9702394009856827,0.9198592931154131,0.9066081443550353,0.013251148760377807,POLYIC_20190510_mouse38__E2_P1
axis1_+30deg,0.9652036519364271,0.8981008717310087,0.9066081443550353,-0.008507272624026618,POLYIC_20190510_mouse38__E2_P1
axis2_+5deg,0.9800610100230752,0.8952918669217489,0.9066081443550353,-0.011316277433286448,POLYIC_20190510_mouse38__E2_P1
axis2_+10deg,0.9756697921261187,0.8922779175537062,0.9066081443550353,-0.014330226801329116,POLYIC_20190510_mouse38__E2_P1
axis2_+20deg,0.9712678088367899,0.9053554867409654,0.9066081443550353,-0.0012526576140698964,POLYIC_20190510_mouse38__E2_P1
axis2_+30deg,0.9615059679830167,0.9066389715023053,0.9066081443550353,3.0827147269985034e-05,POLYIC_20190510_mouse38__E2_P1
resampling_floor,0.9999854741949072,0.9181049967979257,0.9181062759676362,-1.2791697104885813e-06,POLYIC_20190510_mouse39__E4_P1
axis0_+5deg,0.9695790228413398,0.9258647019002189,0.9181062759676362,0.007758425932582691,POLYIC_20190510_mouse39__E4_P1
axis0_+10deg,0.9694786757390692,0.9190164216049913,0.9181062759676362,0.000910145637355142,POLYIC_20190510_mouse39__E4_P1
axis0_+20deg,0.9538909393356553,0.9390713114426269,0.9181062759676362,0.020965035474990734,POLYIC_20190510_mouse39__E4_P1
axis0_+30deg,0.9544458591182305,0.9354314138128946,0.9181062759676362,0.017325137845258465,POLYIC_20190510_mouse39__E4_P1
axis1_+5deg,0.9808124686210735,0.9202670026371597,0.9181062759676362,0.002160726669523494,POLYIC_20190510_mouse39__E4_P1
axis1_+10deg,0.9797109040250831,0.9203170107730463,0.9181062759676362,0.0022107348054101195,POLYIC_20190510_mouse39__E4_P1
axis1_+20deg,0.9764460800325182,0.9186965853658536,0.9181062759676362,0.0005903093982174701,POLYIC_20190510_mouse39__E4_P1
axis1_+30deg,0.9689518203120535,0.9041985084246387,0.9181062759676362,-0.013907767542997496,POLYIC_20190510_mouse39__E4_P1
axis2_+5deg,0.9780086181470264,0.9094113554670893,0.9181062759676362,-0.008694920500546877,POLYIC_20190510_mouse39__E4_P1
axis2_+10deg,0.9773954675569079,0.9122089193692123,0.9181062759676362,-0.005897356598423831,POLYIC_20190510_mouse39__E4_P1
axis2_+20deg,0.9691535202772913,0.9191313792753159,0.9181062759676362,0.0010251033076796867,POLYIC_20190510_mouse39__E4_P1
axis2_+30deg,0.9411979958340371,0.8885248376868489,0.9181062759676362,-0.029581438280787298,POLYIC_20190510_mouse39__E4_P1
resampling_floor,0.9999924923234007,0.920827768212027,0.9208203593296161,7.408882410908646e-06,POLYIC_20190510_mouse42__E2_P1
axis0_+5deg,0.984201665514235,0.9207111268638081,0.9208203593296161,-0.00010923246580807344,POLYIC_20190510_mouse42__E2_P1
axis0_+10deg,0.9774112426035503,0.9067139655868682,0.9208203593296161,-0.014106393742747914,POLYIC_20190510_mouse42__E2_P1
axis0_+20deg,0.9654216718085611,0.8940077068284996,0.9208203593296161,-0.02681265250111653,POLYIC_20190510_mouse42__E2_P1
axis0_+30deg,0.9728335805266335,0.915425268636937,0.9208203593296161,-0.005395090692679183,POLYIC_20190510_mouse42__E2_P1
axis1_+5deg,0.9817082231269875,0.9119147074034292,0.9208203593296161,-0.008905651926186975,POLYIC_20190510_mouse42__E2_P1
axis1_+10deg,0.9807324384989681,0.9258706025789053,0.9208203593296161,0.005050243249289155,POLYIC_20190510_mouse42__E2_P1
axis1_+20deg,0.931757534900705,0.8599552036436368,0.9208203593296161,-0.06086515568597939,POLYIC_20190510_mouse42__E2_P1
axis1_+30deg,0.9502657472464525,0.8906683617308259,0.9208203593296161,-0.03015199759879028,POLYIC_20190510_mouse42__E2_P1
axis2_+5deg,0.9846421240317047,0.9180627915004295,0.9208203593296161,-0.00275756782918668,POLYIC_20190510_mouse42__E2_P1
axis2_+10deg,0.9847193035124587,0.9202036532104336,0.9208203593296161,-0.0006167061191825196,POLYIC_20190510_mouse42__E2_P1
axis2_+20deg,0.9816775090479105,0.925097213220998,0.9208203593296161,0.004276853891381882,POLYIC_20190510_mouse42__E2_P1
axis2_+30deg,0.9692301923581687,0.9205361878586239,0.9208203593296161,-0.00028417147099224493,POLYIC_20190510_mouse42__E2_P1
resampling_floor,1.0,0.9306000376789751,0.9306000376789751,0.0,POLYIC_20190510_mouse43__E2_P1_1
axis0_+5deg,0.9892394955669365,0.9243591096107184,0.9306000376789751,-0.0062409280682567125,POLYIC_20190510_mouse43__E2_P1_1
axis0_+10deg,0.9878076885089385,0.9227104473429162,0.9306000376789751,-0.00788959033605896,POLYIC_20190510_mouse43__E2_P1_1
axis0_+20deg,0.9874827984807618,0.9245351548312264,0.9306000376789751,-0.006064882847748754,POLYIC_20190510_mouse43__E2_P1_1
axis0_+30deg,0.9857266148841533,0.9256484557212524,0.9306000376789751,-0.004951581957722717,POLYIC_20190510_mouse43__E2_P1_1
axis1_+5deg,0.990196509429815,0.9253134356287425,0.9306000376789751,-0.0052866020502326805,POLYIC_20190510_mouse43__E2_P1_1
axis1_+10deg,0.9907090033394685,0.9274243686142946,0.9306000376789751,-0.0031756690646805863,POLYIC_20190510_mouse43__E2_P1_1
axis1_+20deg,0.9866749097492852,0.9291514389461438,0.9306000376789751,-0.0014485987328313188,POLYIC_20190510_mouse43__E2_P1_1
axis1_+30deg,0.9829087177676512,0.9287467556108847,0.9306000376789751,-0.0018532820680904338,POLYIC_20190510_mouse43__E2_P1_1
axis2_+5deg,0.9920657659841756,0.9272360488846145,0.9306000376789751,-0.0033639887943606173,POLYIC_20190510_mouse43__E2_P1_1
axis2_+10deg,0.9917291659783483,0.92675551179718,0.9306000376789751,-0.00384452588179518,POLYIC_20190510_mouse43__E2_P1_1
axis2_+20deg,0.9896348515723963,0.9256632395868747,0.9306000376789751,-0.004936798092100458,POLYIC_20190510_mouse43__E2_P1_1
axis2_+30deg,0.9848283730267561,0.9219007155113046,0.9306000376789751,-0.008699322167670553,POLYIC_20190510_mouse43__E2_P1_1
resampling_floor,1.0,0.8967843040853012,0.8967843040853012,0.0,POLYIC_20190510_mouse43__E9_P1
axis0_+5deg,0.9890232662067424,0.8933991533065366,0.8967843040853012,-0.0033851507787645563,POLYIC_20190510_mouse43__E9_P1
axis0_+10deg,0.9856639839034205,0.8933677916596577,0.8967843040853012,-0.0034165124256434476,POLYIC_20190510_mouse43__E9_P1
axis0_+20deg,0.9851934539480612,0.8955391391914642,0.8967843040853012,-0.0012451648938369697,POLYIC_20190510_mouse43__E9_P1
axis0_+30deg,0.9814185171193105,0.8920727785095108,0.8967843040853012,-0.004711525575790354,POLYIC_20190510_mouse43__E9_P1
axis1_+5deg,0.990048010301919,0.8960593246307532,0.8967843040853012,-0.0007249794545479693,POLYIC_20190510_mouse43__E9_P1
axis1_+10deg,0.9877452696740942,0.8977861588936927,0.8967843040853012,0.0010018548083915446,POLYIC_20190510_mouse43__E9_P1
axis1_+20deg,0.9802898714189037,0.9032786125739348,0.8967843040853012,0.006494308488633638,POLYIC_20190510_mouse43__E9_P1
