transform,stage,relative_l2,cosine,subject
axis2_+10deg,encoder_level0,0.3482281565666199,0.9382644891738892,POLYIC_20190510_mouse34__E2_P1
axis2_+10deg,encoder_level1,0.22650761902332306,0.9740293025970459,POLYIC_20190510_mouse34__E2_P1
axis2_+10deg,encoder_level2,0.2798182964324951,0.960054337978363,POLYIC_20190510_mouse34__E2_P1
axis2_+10deg,encoder_level3,0.2647317349910736,0.9643228054046631,POLYIC_20190510_mouse34__E2_P1
axis2_+10deg,encoder_level4,0.2201472669839859,0.9763290882110596,POLYIC_20190510_mouse34__E2_P1
axis2_+10deg,output_logits,0.15725797414779663,0.987592339515686,POLYIC_20190510_mouse34__E2_P1
axis2_+20deg,input,0.12975572049617767,0.9918357729911804,POLYIC_20190510_mouse34__E2_P1
axis2_+20deg,encoder_level0,0.4004790782928467,0.916653037071228,POLYIC_20190510_mouse34__E2_P1
axis2_+20deg,encoder_level1,0.28761857748031616,0.957746148109436,POLYIC_20190510_mouse34__E2_P1
axis2_+20deg,encoder_level2,0.34691911935806274,0.9379405975341797,POLYIC_20190510_mouse34__E2_P1
axis2_+20deg,encoder_level3,0.26604926586151123,0.9639595746994019,POLYIC_20190510_mouse34__E2_P1
axis2_+20deg,encoder_level4,0.31356367468833923,0.9499626755714417,POLYIC_20190510_mouse34__E2_P1
axis2_+20deg,output_logits,0.223746195435524,0.9747193455696106,POLYIC_20190510_mouse34__E2_P1
axis2_+30deg,input,0.12870560586452484,0.9919860363006592,POLYIC_20190510_mouse34__E2_P1
axis2_+30deg,encoder_level0,0.45486733317375183,0.8905736207962036,POLYIC_20190510_mouse34__E2_P1
axis2_+30deg,encoder_level1,0.34577488899230957,0.9383900165557861,POLYIC_20190510_mouse34__E2_P1
axis2_+30deg,encoder_level2,0.4134976863861084,0.9108691215515137,POLYIC_20190510_mouse34__E2_P1
axis2_+30deg,encoder_level3,0.29882025718688965,0.9543096423149109,POLYIC_20190510_mouse34__E2_P1
axis2_+30deg,encoder_level4,0.37700968980789185,0.9262170791625977,POLYIC_20190510_mouse34__E2_P1
axis2_+30deg,output_logits,0.28582116961479187,0.9584366679191589,POLYIC_20190510_mouse34__E2_P1
resampling_floor,input,2.2450549295172095e-06,1.0,POLYIC_20190510_mouse35__E3_P1
resampling_floor,encoder_level0,1.7892374671646394e-05,0.9999999403953552,POLYIC_20190510_mouse35__E3_P1
resampling_floor,encoder_level1,2.0226076230756007e-05,1.0,POLYIC_20190510_mouse35__E3_P1
resampling_floor,encoder_level2,2.267407762701623e-05,0.9999999403953552,POLYIC_20190510_mouse35__E3_P1
resampling_floor,encoder_level3,7.30263138848386e-07,1.0,POLYIC_20190510_mouse35__E3_P1
resampling_floor,encoder_level4,5.13452869199682e-06,1.000000238418579,POLYIC_20190510_mouse35__E3_P1
